rank,name,fed,rating
1,"Lazarev, Vladimir",FRA,44
2,"Shalamberidze, Akaki",GEO,38
3,"Zhao, Shengxin",CHN,37
4,"Zhou, Zirun",CHN,36
5,"Ninov, Nikolai",BUL,34
6,"Alahakoon, Isuru",SRI,31
7,"Ghaem Maghami, Ehsan",IRI,31
8,"Iljin, Timofey",UKR,31
9,"Redondo Benavente, Ana",ESP,30
10,"Weerawardane, Romesh",SRI,30
11,"Aguilar, Luis Miguel",BOL,29
12,"Huang, Qian",CHN,29
13,"Lei, Tingjie",CHN,29
14,"Naumkin, Igor",RUS,29
15,"Tan, Zhongyi",CHN,29
16,"Arribas Lopez, Angel",ESP,28
17,Bristy Mukherjee,IND,28
18,"Debashish, Dutta",IND,28
19,"Dumitrache, Dragos-Nicolae",ROU,28
20,"Gaudin, Roger",FRA,28
21,"Julien, Jules-Alois",FRA,28
22,"Morona Minguez, Miguel",ESP,28
23,"Nevednichy, Vladislav",ROU,28
24,"Santos Ruiz, Miguel",ESP,28
25,"Shen, Yang",CHN,28
26,Arpan Das (Jr),IND,27
27,Arya Bhakta,IND,27
28,"Aubert, Laurane",FRA,27
29,"Battaglini, Gabriel",FRA,27
30,"Bayo Milagro, Alvaro",ESP,27
31,"Bouget, Alexandre",FRA,27
32,"Burri, Quentin",FRA,27
33,"Cao, Jason",CAN,27
34,"Chandra, Akshat",USA,27
35,"Chatalbashev, Boris",BUL,27
36,"Dominguez Fernandez, Angel I",ESP,27
37,"Drogovoz, Irina",RUS,27
38,"Fedorchuk, Sergey A.",UKR,27
39,"Fernandez Lopez, Alejandro I",ESP,27
40,"Goettelmann, Guillaume",FRA,27
41,"Gorovets, Andrey",BLR,27
42,"Hoffman, Alejandro",ARG,27
43,"Hong, Xing",CHN,27
44,Jain Kashish Manoj,IND,27
45,"Kantans, Toms",LAT,27
46,"Kosic, Dragan",MNE,27
47,"Kostin, Alexey",RUS,27
48,"Kyc, Jerzy",POL,27
49,"Lapeyre, Pierre",FRA,27
50,"Le Pen, Steven",FRA,27
51,"Li, Ruifeng",USA,27
52,"Libiszewski, Fabien",FRA,27
53,"Lokander, Martin",SWE,27
54,"Maksimovic, Suzana",SRB,27
55,"Malicka, Maria",POL,27
56,"Marques, Ricardo Taborda Trigo",POR,27
57,"Medarde Santiago, Luis Marcos",ESP,27
58,"Mgeladze, Tamaz",GEO,27
59,"Mirzoev, Emil",UKR,27
60,"Morchiashvili, Bachana",GEO,27
61,"Munoz Avila, Jose Luis",ESP,27
62,"Oberholzer, Francois",RSA,27
63,"Paunovic, Dragan",SRB,27
64,"Pourkashiyan, Atousa",IRI,27
65,"Shishkin, Vadim",UKR,27
66,"Stremavicius, Titas",LTU,27
67,"Wang, Qibiao",CHN,27
68,"Yagupov, Igor",RUS,27
69,"Yingrui, Lin",ESP,27
70,"Zhang, Yuanchen",CAN,27
71,Akil A S J,IND,26
72,"Aledo Yanguas, David",ESP,26
73,"Aliane Diez, Aaron",ESP,26
74,"Baudewyn, Ludovic",FRA,26
75,"Beletsky, Alexey",RUS,26
76,"Bwalya, Gillan",ZAM,26
77,Cai Youyang,CHN,26
78,Chandratreya Prachiti,IND,26
79,"David, Alberto",ITA,26
80,Dhrupad Kashyap,IND,26
81,"Fernandez Borrego, Pablo",ESP,26
82,"Gongora Montes, Benjamin",MEX,26
83,"Grishchenko, Sergey",RUS,26
84,"Iasman, Inna",FRA,26
85,"Ivanov, Mikhail M",RUS,26
86,"Iwanow, Anna",POL,26
87,"Kostelidou, Despoina",GRE,26
88,"Koutsidis, Achilleas",GRE,26
89,"Kurashov, Andrey",RUS,26
90,"Leao, Tiago Miguel Da Silva",POR,26
91,"Livet, Florian",FRA,26
92,"Lokesh, N.",IND,26
93,"Martin Iribar, Ander",ESP,26
94,"Musaev, Rasul",RUS,26
95,"Panainte, Andreea-Bianca",ROU,26
96,"Perez Perez , Gabriel",ESP,26
97,"Piskunov, Alexandr",RUS,26
98,"Portela Peleteiro, Alberto",ESP,26
99,"Pressman, Leif",USA,26
100,"Puga Sanchez, Miguel",ESP,26
