rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2876
2,"Caruana, Fabiano",USA,2812
3,"Kasparov, Garry",RUS,2812
4,"Ding, Liren",CHN,2811
5,"Giri, Anish",NED,2780
6,"Nepomniachtchi, Ian",RUS,2776
7,"Vachier-Lagrave, Maxime",FRA,2774
8,"Mamedyarov, Shakhriyar",AZE,2767
9,"So, Wesley",USA,2767
10,"Anand, Viswanathan",IND,2765
11,"Dominguez Perez, Leinier",USA,2763
12,"Yu, Yangyi",CHN,2763
13,"Karjakin, Sergey",RUS,2760
14,"Grischuk, Alexander",RUS,2759
15,"Aronian, Levon",ARM,2758
16,"Radjabov, Teimour",AZE,2758
17,"Kramnik, Vladimir",RUS,2753
18,"Rapport, Richard",HUN,2752
19,"Artemiev, Vladislav",RUS,2746
20,"Harikrishna, Pentala",IND,2746
21,"Nakamura, Hikaru",USA,2745
22,"Andreikin, Dmitry",RUS,2741
23,"Wojtaszek, Radoslaw",POL,2739
24,"Topalov, Veselin",BUL,2736
25,"Vitiugov, Nikita",RUS,2732
26,"Duda, Jan-Krzysztof",POL,2730
27,"Svidler, Peter",RUS,2729
28,"Wang, Hao",CHN,2726
29,"Navara, David",CZE,2724
30,"Bu, Xiangzhi",CHN,2721
31,"Wei, Yi",CHN,2721
32,"Tomashevsky, Evgeny",RUS,2718
33,"Vidit, Santosh Gujrathi",IND,2718
34,"Matlakov, Maxim",RUS,2716
35,"Le, Quang Liem",VIE,2708
36,"Xiong, Jeffery",USA,2707
37,"Shankland, Sam",USA,2705
38,"Firouzja, Alireza",IRI,2702
39,"Amin, Bassem",EGY,2699
40,"Dubov, Daniil",RUS,2699
41,"Adams, Michael",ENG,2694
42,"Howell, David W L",ENG,2694
43,"Inarkiev, Ernesto",RUS,2693
44,"Sadler, Matthew D",ENG,2692
45,"Grandelius, Nils",SWE,2691
46,"Sargissian, Gabriel",ARM,2690
47,"Jones, Gawain C B",ENG,2688
48,"Almasi, Zoltan",HUN,2687
49,"Li, Chao b",CHN,2687
50,"Gelfand, Boris",ISR,2686
51,"Ivanchuk, Vassily",UKR,2686
52,"Kamsky, Gata",USA,2685
53,"Rausis, Igors",CZE,2685
54,"Rodshtein, Maxim",ISR,2684
55,"Vallejo Pons, Francisco",ESP,2684
56,"Ragger, Markus",AUT,2683
57,"McShane, Luke J",ENG,2682
58,"Jakovenko, Dmitry",RUS,2681
59,"Korobov, Anton",UKR,2679
60,"Wang, Yue",CHN,2677
61,"Cori, Jorge",PER,2676
62,"Areshchenko, Alexander",UKR,2675
63,"Polgar, Judit",HUN,2675
64,"Ponomariov, Ruslan",UKR,2675
65,"Salem, A.R. Saleh",UAE,2675
66,"Sasikiran, Krishnan",IND,2675
67,"Anton Guijarro, David",ESP,2674
68,"Gyimesi, Zoltan",HUN,2674
69,"Kovalenko, Igor",LAT,2674
70,"Ni, Hua",CHN,2672
71,"Alekseenko, Kirill",RUS,2671
72,"Bacrot, Etienne",FRA,2671
73,"Shirov, Alexei",ESP,2671
74,"Cheparinov, Ivan",GEO,2670
75,"Leko, Peter",HUN,2670
76,"Kryvoruchko, Yuriy",UKR,2669
77,"Laznicka, Viktor",CZE,2667
78,"Saric, Ivan",CRO,2667
79,"Berkes, Ferenc",HUN,2666
80,"Nyzhnyk, Illya",UKR,2665
81,"Fedoseev, Vladimir",RUS,2664
82,"Maghsoodloo, Parham",IRI,2664
83,"Eljanov, Pavel",UKR,2663
84,"Malakhov, Vladimir",RUS,2662
85,"Sjugirov, Sanan",RUS,2662
86,"Dreev, Aleksey",RUS,2661
87,"Kovalev, Vladislav",BLR,2661
88,"Piorun, Kacper",POL,2660
89,"Tkachiev, Vladislav",FRA,2660
90,"Hou, Yifan",CHN,2659
91,"Morozevich, Alexander",RUS,2659
92,"Ganguly, Surya Shekhar",IND,2658
93,"Lautier, Joel",FRA,2658
94,"Nabaty, Tamir",ISR,2658
95,"Van Kampen, Robin",NED,2658
96,"Kasimdzhanov, Rustam",UZB,2657
97,"Lagarde, Maxime",FRA,2657
98,"Predke, Alexandr",RUS,2657
99,"Nisipeanu, Liviu-Dieter",GER,2656
100,"Demchenko, Anton",RUS,2655
