rank,name,fed,rating
1,"Kasparov, Garry",URS,2800
2,"Fischer, Robert James",USA,2780
3,"Karpov, Anatoly",URS,2730
4,"Timman, Jan H.",NED,2680
5,"Ivanchuk, Vassily",URS,2665
6,"Gurevich, Mikhail",URS,2645
7,"Salov, Valery",URS,2645
8,"Beliavsky, Alexander G.",URS,2640
9,"Short, Nigel D.",ENG,2635
10,"Andersson, Ulf",SWE,2630
11,"Kortschnoj, Viktor",SUI,2625
12,"Ljubojevic, Ljubomir",YUG,2625
13,"Dolmatov, Sergey",URS,2620
14,"Ehlvest, Jaan",URS,2620
15,"Gelfand, Boris",URS,2615
16,"Mecking, Henrique",BRA,2615
17,"Yusupov, Artur",URS,2615
18,"Azmaiparashvili, Zurab",URS,2610
19,"Gulko, Boris F.",USA,2610
20,"Polugaevsky, Lev",URS,2610
21,"Speelman, Jonathan S.",ENG,2610
22,"Dreev, Alexey",URS,2605
23,"Georgiev, Kiril",BUL,2605
24,"Portisch, Lajos",HUN,2605
25,"Ribli, Zoltan",HUN,2605
26,"Sax, Gyula",HUN,2605
27,"Vaganian, Rafael A.",URS,2605
28,"Agdestein, Simen",NOR,2600
29,"Chernin, Alexander",URS,2600
30,"Nikolic, Predrag",YUG,2600
31,"Nunn, John D. M.",ENG,2600
32,"Dorfman, Josif D.",URS,2595
33,"Huebner, Robert",GER,2595
34,"Seirawan, Yasser",USA,2595
35,"Bareev, Evgeny",URS,2590
36,"Chandler, Murray G.",ENG,2585
37,"Sokolov, Andrei",URS,2585
38,"Tal, Mikhail N.",URS,2585
39,"Gavrikov, Viktor",URS,2580
40,"Miles, Anthony J.",USA,2580
41,"Kozul, Zdenko",YUG,2575
42,"Olafsson, Helgi",ISL,2575
43,"Yudasin, Leonid",URS,2575
44,"Eingorn, Vereslav S.",URS,2570
45,"Hansen, Curt",DEN,2570
46,"Oll, Lembit",URS,2570
47,"Psakhis, Lev",ISR,2570
48,"Smyslov, Vassily",URS,2570
49,"Tukmakov, Vladimir B.",URS,2570
50,"Alburt, Lev O.",USA,2565
51,"De Firmian, Nick E.",USA,2565
52,"Kudrin, Sergey",USA,2565
53,"Ruban, Vadim",URS,2565
54,"Vladimirov, Evgeny",URS,2565
55,"Wahls, Matthias",GER,2565
56,"Browne, Walter S.",USA,2560
57,"Christiansen, Larry M.",USA,2560
58,"Dautov, Rustem",URS,2560
59,"Fedorowicz, John P.",USA,2560
60,"Ftacnik, Lubomir",CSR,2560
61,"Hort, Vlastimil",GER,2560
62,"Hulak, Krunoslav",YUG,2560
63,"Kavalek, Lubomir",USA,2560
64,"Khalifman, Alexander",URS,2560
65,"Kindermann, Stefan",GER,2560
66,"Lerner, Konstantin Z.",URS,2560
67,"Spassky, Boris V.",FRA,2560
68,"Vyzmanavin, Alexey",URS,2560
69,"Adams, Michael",ENG,2555
70,"Anand, Viswanathan",IND,2555
71,"Nogueiras, Jesus",CUB,2555
72,"Petursson, Margeir",ISL,2555
73,"Pinter, Jozsef",HUN,2555
74,"Rohde, Michael A.",USA,2555
75,"Spraggett, Kevin",CAN,2555
76,"Akopian, Vladimir",URS,2550
77,"Epishin, Vladimir",URS,2550
78,"Larsen, Bent",DEN,2550
79,"Novikov, Igor A.",URS,2550
80,"Polgar, Judit",HUN,2550
81,"Sokolov, Ivan",YUG,2550
82,"Todorcevic, Miodrag",YUG,2550
83,"Torre, Eugenio",PHI,2550
84,"Van der Wiel, John T. H.",NED,2550
85,"Wojtkiewicz, Aleksander",POL,2550
86,"Aseev, Konstantin N.",URS,2545
87,"Dzindzichashvili, Roman",USA,2545
88,"Groszpeter, Attila",HUN,2545
89,"Krasenkov, Mikhail",URS,2545
90,"Lobron, Eric",GER,2545
91,"Lputian, Smbat G.",URS,2545
92,"Pigusov, Evgeny",URS,2545
93,"Razuvaev, Yuri S.",URS,2545
94,"Vasiukov, Evgeni",URS,2545
95,"Dokhoian, Yury",URS,2540
96,"Hodgson, Julian M.",ENG,2540
97,"Kovacevic, Vladimir",YUG,2540
98,"Krogius, Nikolai V.",URS,2540
99,"Rashkovsky, Nukhim N.",URS,2540
100,"Timoshenko, Georgy",URS,2540
