rank,name,fed,rating
1,"Carlsen, Magnus",NO,2830
2,"Caruana, Fabiano",US,2804
3,"Nakamura, Hikaru",US,2788
4,"Ding, Liren",CN,2762
5,"Giri, Anish",NL,2762
6,"Firouzja, Alireza",FR,2760
7,"Nepomniachtchi, Ian",RU,2758
8,"So, Wesley",US,2757
9,"Wei, Yi",CN,2755
10,"Dominguez Perez, Leinier",US,2752
11,"Karjakin, Sergey",RU,2750
12,"Anand, Viswanathan",IN,2748
13,Praggnanandhaa R,IN,2747
14,"Vidit, Santosh Gujrathi",IN,2747
15,"Abdusattorov, Nodirbek",UZ,2744
16,Gukesh D,IN,2743
17,"Keymer, Vincent",DE,2738
18,Erigaisi Arjun,IN,2738
19,"Vachier-Lagrave, Maxime",FR,2732
20,"Duda, Jan-Krzysztof",PL,2732
21,"Grischuk, Alexander",RU,2732
22,Le Quang Liem,VN,2731
23,"Topalov, Veselin",BG,2727
24,"Aronian, Levon",US,2725
25,"Radjabov, Teimour",AZ,2723
26,"Mamedyarov, Shakhriyar",AZ,2722
27,"Yu, Yangyi",CN,2720
28,"Rapport, Richard",RO,2717
29,"Maghsoodloo, Parham",IR,2715
30,"Artemiev, Vladislav",RU,2711
31,"Harikrishna, Pentala",IN,2708
32,"Dubov, Daniil",RU,2708
33,"Esipenko, Andrey",FF,2704
34,"Wang, Hao",CN,2702
35,"Sindarov, Javokhir",UZ,2701
36,"Eljanov, Pavel",UA,2699
37,"Sarana, Alexey",RS,2697
38,"Sevian, Samuel",US,2697
39,"Robson, Ray",US,2696
40,"Tabatabaei, M. Amin",IR,2696
41,"Sjugirov, Sanan",HU,2695
42,Narayanan.S.L,IN,2694
43,Nihal Sarin,IN,2693
44,"Deac, Bogdan-Daniel",RO,2690
45,"Fedoseev, Vladimir",SI,2690
46,"Svidler, Peter",FF,2689
47,"Kasimdzhanov, Rustam",UZ,2687
48,"Vitiugov, Nikita",EN,2687
49,"Bacrot, Etienne",FR,2683
50,"Martirosyan, Haik M.",AM,2681
51,"Tomashevsky, Evgeny",RU,2681
52,"Saric, Ivan",HR,2680
53,"Niemann, Hans Moke",US,2675
54,"Howell, David W L",EN,2675
55,"Shankland, Sam",US,2674
56,"Adams, Michael",EN,2673
57,"Anton Guijarro, David",ES,2672
58,"Oparin, Grigoriy",US,2671
59,"Amin, Bassem",EG,2671
60,"Sargissian, Gabriel",AM,2671
61,"Bu, Xiangzhi",CN,2671
62,"Van Foreest, Jorden",NL,2668
63,"Navara, David",CZ,2667
64,"Korobov, Anton",UA,2666
65,"Wojtaszek, Radoslaw",PL,2666
66,"Predke, Alexandr",RS,2666
67,"Leko, Peter",HU,2666
68,"Grandelius, Nils",SE,2665
69,"Gelfand, Boris",IL,2664
70,"Najer, Evgeniy",FF,2663
71,"Volokitin, Andrei",UA,2663
72,"Aravindh, Chithambaram VR.",IN,2662
73,"Matlakov, Maxim",RU,2662
74,"Naiditsch, Arkadij",AZ,2661
75,"Shevchenko, Kirill",RO,2661
76,"Yakubboev, Nodirbek",UZ,2661
77,"Bartel, Mateusz",PL,2660
78,"Shirov, Alexei",ES,2660
79,"Xiong, Jeffery",US,2659
80,"Bluebaum, Matthias",DE,2658
81,"Inarkiev, Ernesto",FF,2658
82,"Kryvoruchko, Yuriy",UA,2657
83,"Sadhwani, Raunak",IN,2654
84,"Wang, Yue",CN,2654
85,"Vallejo Pons, Francisco",ES,2653
86,"Li, Chao b",CN,2651
87,"Ma, Qun",CN,2651
88,"Mamedov, Rauf",AZ,2651
89,"Alekseenko, Kirill",AT,2650
90,"Ni, Hua",CN,2649
91,"Malakhov, Vladimir",FF,2648
92,"Ponomariov, Ruslan",UA,2647
93,"Pichot, Alan",ES,2644
94,"Liang, Awonder",US,2642
95,"Bjerre, Jonas Buhl",DK,2642
96,"Abasov, Nijat",AZ,2641
97,"Ter-Sahakyan, Samvel",AM,2640
98,"Melkumyan, Hrant",AM,2640
99,"Nabaty, Tamir",IL,2639
100,"Brkic, Ante",HR,2638
