rank,name,fed,rating
1,"Carlsen, Magnus",NO,2840
2,"Nakamura, Hikaru",US,2810
3,"Caruana, Fabiano",US,2793
4,"Abdusattorov, Nodirbek",UZ,2780
5,"Keymer, Vincent",DE,2762
6,"Firouzja, Alireza",FR,2759
7,"So, Wesley",US,2754
8,"Wei, Yi",CN,2754
9,"Giri, Anish",NL,2753
10,Erigaisi Arjun,IN,2751
11,"Sindarov, Javokhir",UZ,2745
12,"Anand, Viswanathan",IN,2743
13,Praggnanandhaa R,IN,2741
14,"Duda, Jan-Krzysztof",PL,2739
15,"Van Foreest, Jorden",NL,2736
16,"Ding, Liren",CN,2734
17,Gukesh D,IN,2732
18,"Dominguez Perez, Leinier",US,2732
19,Le Quang Liem,VN,2731
20,"Nepomniachtchi, Ian",FF,2729
21,"Rapport, Richard",HU,2729
22,"Niemann, Hans Moke",US,2728
23,"Aronian, Levon",US,2724
24,Nihal Sarin,IN,2723
25,"Maghsoodloo, Parham",IR,2720
26,"Liang, Awonder",US,2718
27,"Vachier-Lagrave, Maxime",FR,2717
28,"Topalov, Veselin",BG,2717
29,"Yu, Yangyi",CN,2717
30,"Mamedyarov, Shakhriyar",AZ,2715
31,"Andreikin, Dmitry",FF,2710
32,"Vidit, Santosh Gujrathi",IN,2708
33,"Fedoseev, Vladimir",SI,2703
34,"Tabatabaei, M. Amin",IR,2700
35,"Esipenko, Andrey",FF,2698
36,"Sevian, Samuel",US,2696
37,"Bluebaum, Matthias",DE,2695
38,"Aravindh, Chithambaram VR.",IN,2693
39,"Yakubboev, Nodirbek",UZ,2689
40,"Radjabov, Teimour",AZ,2689
41,"Erdogmus, Yagiz Kaan",TR,2687
42,"Kovalenko, Igor",UA,2685
43,"Wang, Hao",CN,2684
44,"Eljanov, Pavel",UA,2682
45,"Svidler, Peter",FF,2682
46,"Harikrishna, Pentala",IN,2676
47,"Leko, Peter",HU,2676
48,"Vitiugov, Nikita",EN,2667
49,"Bu, Xiangzhi",CN,2666
50,"Howell, David W L",EN,2665
51,"Kasimdzhanov, Rustam",UZ,2662
52,"Wojtaszek, Radoslaw",PL,2662
53,"Grandelius, Nils",SE,2662
54,"Sarana, Alexey",RS,2658
55,"Pranav, V",IN,2657
56,Christiansen J,NO,2657
57,"Anton Guijarro, David",ES,2656
58,"Alekseenko, Kirill",AT,2656
59,"Xiong, Jeffery",US,2656
60,"Murzin, Volodar",FF,2655
61,"Deac, Bogdan-Daniel",RO,2655
62,"Dubov, Daniil",FF,2654
63,"Saric, Ivan",HR,2654
64,"Robson, Ray",US,2653
65,"Inarkiev, Ernesto",FF,2653
66,"Morozevich, Alexander",FF,2653
67,"Suleymanli, Aydin",AZ,2653
68,"Shankland, Sam",US,2651
69,"Karthikeyan, Murali",IN,2648
70,"Safarli, Eltaj",AZ,2648
71,"Chigaev, Maksim",ES,2647
72,"Sargsyan, Shant",AM,2647
73,"Martinez Alcantara, Jose Eduardo",MX,2646
74,"Vallejo Pons, Francisco",ES,2644
75,"Navara, David",CZ,2643
76,"Oparin, Grigoriy",US,2643
77,"Donchenko, Alexander",DE,2642
78,"Sadhwani, Raunak",IN,2642
79,"Tari, Aryan",NO,2642
80,"Lu, Shanglei",CN,2642
81,"Grischuk, Alexander",FF,2641
82,"Vokhidov, Shamsiddin",UZ,2641
83,"Artemiev, Vladislav",FF,2641
84,"Svane, Frederik",DE,2640
85,"Salem, A.R. Saleh",AE,2640
86,"Maroroa Jones, Gawain C B",EN,2639
87,Aryan Chopra,IN,2637
88,"Demchenko, Anton",SI,2636
89,"Ponomariov, Ruslan",UA,2636
90,"Mamedov, Rauf",AZ,2636
91,"Woodward, Andy",US,2635
92,"Theodorou, Nikolas",GR,2635
93,"Gelfand, Boris",IL,2635
94,"Gurel, Ediz",TR,2635
95,"Martirosyan, Haik M.",AM,2633
96,"Nguyen, Thai Dai Van",CZ,2633
97,Pranesh M,IN,2632
98,"Kollars, Dmitrij",DE,2632
99,"Hakobyan, Aram",AM,2631
100,"Bacrot, Etienne",FR,2631
