rank,name,fed,rating
1,"Kasparov, Garry",RUS,2812
2,"Anand, Viswanathan",IND,2788
3,"Topalov, Veselin",BUL,2782
4,"Fischer, Robert J",USA,2780
5,"Leko, Peter",HUN,2751
6,"Ivanchuk, Vassily",UKR,2748
7,"Svidler, Peter",RUS,2740
8,"Kramnik, Vladimir",RUS,2739
9,"Polgar, Judit",HUN,2735
10,"Bacrot, Etienne",FRA,2725
11,"Aronian, Levon",ARM,2724
12,"Grischuk, Alexander",RUS,2720
13,"Adams, Michael",ENG,2718
14,"Gelfand, Boris",ISR,2717
15,"Shirov, Alexei",ESP,2710
16,"Akopian, Vladimir",ARM,2707
17,"Morozevich, Alexander",RUS,2707
18,"Nisipeanu, Liviu-Dieter",ROM,2707
19,"Ponomariov, Ruslan",UKR,2704
20,"Radjabov, Teimour",AZE,2704
21,"Tiviakov, Sergei",NED,2699
22,"Sokolov, Ivan",NED,2696
23,"Dreev, Alexey",RUS,2694
24,"Kamsky, Gata",USA,2690
25,"Bologan, Viktor",MDA,2682
26,"Lautier, Joel",FRA,2679
27,"Bruzon, Lazaro",CUB,2677
28,"Bareev, Evgeny",RUS,2675
29,"Mamedyarov, Shakhriyar",AZE,2674
30,"Vallejo Pons, Francisco",ESP,2674
31,"Harikrishna, P.",IND,2673
32,"Short, Nigel D.",ENG,2673
33,"Smirin, Ilia",ISR,2673
34,"Karpov, Anatoly",RUS,2672
35,"Kasimdzhanov, Rustam",UZB,2670
36,"Malakhov, Vladimir",RUS,2670
37,"Delchev, Aleksander",BUL,2669
38,"Sakaev, Konstantin",RUS,2668
39,"Volokitin, Andrei",UKR,2666
40,"Eljanov, Pavel",UKR,2663
41,"Moiseenko, Alexander",UKR,2663
42,"Sasikiran, Krishnan",IND,2663
43,"Nakamura, Hikaru",USA,2662
44,"Zvjaginsev, Vadim",RUS,2659
45,"Azmaiparashvili, Zurab",GEO,2658
46,"Karjakin, Sergey",UKR,2658
47,"Timofeev, Artyom",RUS,2658
48,"Krasenkow, Michal",POL,2655
49,"Sutovsky, Emil",ISR,2654
50,"Areshchenko, Alexander",UKR,2653
51,"Khalifman, Alexander",RUS,2653
52,"Avrukh, Boris",ISR,2652
53,"Gurevich, Mikhail",TUR,2652
54,"Milov, Vadim",SUI,2652
55,"Rublevsky, Sergei",RUS,2652
56,"Georgiev, Kiril",BUL,2648
57,"Van Wely, Loek",NED,2648
58,"Ye, Jiangchuan",CHN,2648
59,"Izoria, Zviad",GEO,2646
60,"Navara, David",CZE,2646
61,"Nielsen, Peter Heine",DEN,2646
62,"Vescovi, Giovanni",BRA,2646
63,"Asrian, Karen",ARM,2645
64,"Jakovenko, Dmitry",RUS,2644
65,"Salov, Valery",RUS,2644
66,"Naiditsch, Arkadij",GER,2641
67,"Najer, Evgeniy",RUS,2641
68,"Almasi, Zoltan",HUN,2640
69,"Onischuk, Alexander",USA,2640
70,"Bu, Xiangzhi",CHN,2637
71,"Efimenko, Zahar",UKR,2637
72,"Granda Zuniga, Julio E",PER,2637
73,"Huebner, Robert Dr.",GER,2637
74,"Smirnov, Pavel",RUS,2637
75,"Aleksandrov, Aleksej",BLR,2636
76,"Dominguez, Lenier",CUB,2635
77,"Miton, Kamil",POL,2635
78,"Movsesian, Sergei",SVK,2635
79,"Seirawan, Yasser",USA,2635
80,"Kobalia, Mikhail",RUS,2634
81,"Miroshnichenko, Evgenij",UKR,2634
82,"Alekseev, Evgeny",RUS,2632
83,"Motylev, Alexander",RUS,2632
84,"Beliavsky, Alexander G",SLO,2631
85,"Timman, Jan H",NED,2630
86,"Tkachiev, Vladislav",FRA,2629
87,"Kotronias, Vasilios",GRE,2626
88,"Bauer, Christian",FRA,2625
89,"Felgaer, Ruben",ARG,2624
90,"Gyimesi, Zoltan",HUN,2624
91,"Piket, Jeroen",NED,2624
92,"Fressinet, Laurent",FRA,2623
93,"Istratescu, Andrei",ROM,2622
94,"Sokolov, Andrei",FRA,2622
95,"Atalik, Suat",TUR,2620
96,"Belov, Vladimir",RUS,2620
97,"Korchnoi, Viktor",SUI,2620
98,"Milos, Gilberto",BRA,2620
99,"Hjartarson, Johann",ISL,2619
100,"Kempinski, Robert",POL,2619
