rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2835
2,"Kasparov, Garry",RUS,2812
3,"Aronian, Levon",ARM,2805
4,"Kramnik, Vladimir",RUS,2801
5,"Anand, Viswanathan",IND,2799
6,"Radjabov, Teimour",AZE,2773
7,"Topalov, Veselin",BUL,2770
8,"Karjakin, Sergey",RUS,2769
9,"Ivanchuk, Vassily",UKR,2766
10,"Morozevich, Alexander",RUS,2763
11,"Gashimov, Vugar",AZE,2761
12,"Grischuk, Alexander",RUS,2761
13,"Nakamura, Hikaru",USA,2759
14,"Svidler, Peter",RUS,2749
15,"Mamedyarov, Shakhriyar",AZE,2747
16,"Tomashevsky, Evgeny",RUS,2740
17,"Gelfand, Boris",ISR,2739
18,"Caruana, Fabiano",ITA,2736
19,"Nepomniachtchi, Ian",RUS,2735
20,"Wang, Hao",CHN,2733
21,"Kamsky, Gata",USA,2732
22,"Dominguez Perez, Leinier",CUB,2730
23,"Jakovenko, Dmitry",RUS,2729
24,"Ponomariov, Ruslan",UKR,2727
25,"Vitiugov, Nikita",RUS,2726
26,"Adams, Michael",ENG,2724
27,"Leko, Peter",HUN,2720
28,"Almasi, Zoltan",HUN,2717
29,"Giri, Anish",NED,2714
30,"Le, Quang Liem",VIE,2714
31,"Navara, David",CZE,2712
32,"Polgar, Judit",HUN,2710
33,"Riazantsev, Alexander",RUS,2710
34,"Shirov, Alexei",LAT,2710
35,"Moiseenko, Alexander",UKR,2706
36,"Wojtaszek, Radoslaw",POL,2706
37,"Malakhov, Vladimir",RUS,2705
38,"Vallejo Pons, Francisco",ESP,2705
39,"Bacrot, Etienne",FRA,2704
40,"Jobava, Baadur",GEO,2704
41,"Laznicka, Viktor",CZE,2704
42,"Sutovsky, Emil",ISR,2703
43,"Naiditsch, Arkadij",GER,2702
44,"Movsesian, Sergei",ARM,2700
45,"Sasikiran, Krishnan",IND,2700
46,"Vachier-Lagrave, Maxime",FRA,2699
47,"Dreev, Aleksey",RUS,2698
48,"Efimenko, Zahar",UKR,2695
49,"Volokitin, Andrei",UKR,2695
50,"Wang, Yue",CHN,2694
51,"Fressinet, Laurent",FRA,2693
52,"Grachev, Boris",RUS,2693
53,"Li, Chao b",CHN,2693
54,"Nielsen, Peter Heine",DEN,2693
55,"Van Wely, Loek",NED,2692
56,"Bruzon Batista, Lazaro",CUB,2691
57,"McShane, Luke J",ENG,2691
58,"Eljanov, Pavel",UKR,2690
59,"Inarkiev, Ernesto",RUS,2689
60,"Kasimdzhanov, Rustam",UZB,2689
61,"Andreikin, Dmitry",RUS,2688
62,"Areshchenko, Alexander",UKR,2688
63,"Zvjaginsev, Vadim",RUS,2688
64,"Rublevsky, Sergei",RUS,2686
65,"Akopian, Vladimir",ARM,2685
66,"Potkin, Vladimir",RUS,2684
67,"Sargissian, Gabriel",ARM,2683
68,"Berkes, Ferenc",HUN,2682
69,"Bologan, Viktor",MDA,2680
70,"Bauer, Christian",FRA,2679
71,"Motylev, Alexander",RUS,2677
72,"Short, Nigel D",ENG,2677
73,"Tiviakov, Sergei",NED,2677
74,"Gharamian, Tigran",FRA,2676
75,"Kobalia, Mikhail",RUS,2673
76,"Meier, Georg",GER,2671
77,"Alekseev, Evgeny",RUS,2670
78,"Bu, Xiangzhi",CHN,2670
79,"Onischuk, Alexander",USA,2670
80,"Azarov, Sergei",BLR,2667
81,"Kryvoruchko, Yuriy",UKR,2666
82,"Balogh, Csaba",HUN,2665
83,"Harikrishna, P.",IND,2665
84,"Khismatullin, Denis",RUS,2664
85,"Bareev, Evgeny",RUS,2663
86,"Nguyen, Ngoc Truong Son",VIE,2662
87,"Ding, Liren",CHN,2660
88,"Fridman, Daniel",GER,2660
89,"Korobov, Anton",UKR,2660
90,"Sadler, Matthew D",ENG,2660
91,"Smirin, Ilia",ISR,2660
92,"Cheparinov, Ivan",BUL,2659
93,"Timofeev, Artyom",RUS,2659
94,"Bartel, Mateusz",POL,2658
95,"Feller, Sebastien",FRA,2658
96,"Georgiev, Kiril",BUL,2658
97,"Lautier, Joel",FRA,2658
98,"Zhigalko, Sergei",BLR,2658
99,"Ragger, Markus",AUT,2655
100,"Jones, Gawain C B",ENG,2653
