rank,name,fed,rating
1,"Carlsen, Magnus",NO,2852
2,"Nepomniachtchi, Ian",RU,2793
3,"Ding, Liren",CN,2788
4,"Firouzja, Alireza",FR,2785
5,"Giri, Anish",NL,2780
6,"Nakamura, Hikaru",US,2768
7,"Caruana, Fabiano",US,2766
8,"So, Wesley",US,2766
9,"Anand, Viswanathan",IN,2754
10,"Karjakin, Sergey",RU,2747
11,"Radjabov, Teimour",AZ,2747
12,"Grischuk, Alexander",RU,2745
13,"Dominguez Perez, Leinier",US,2743
14,"Rapport, Richard",RO,2740
15,"Mamedyarov, Shakhriyar",AZ,2740
16,"Vachier-Lagrave, Maxime",FR,2737
17,"Aronian, Levon",US,2736
18,"Abdusattorov, Nodirbek",UZ,2734
19,"Vidit, Santosh Gujrathi",IN,2730
20,"Andreikin, Dmitry",FF,2729
21,"Duda, Jan-Krzysztof",PL,2729
22,"Yu, Yangyi",CN,2729
23,"Maghsoodloo, Parham",IR,2728
24,Le Quang Liem,VN,2728
25,"Topalov, Veselin",BG,2728
26,"Vitiugov, Nikita",FF,2723
27,"Wang, Hao",CN,2722
28,"Wei, Yi",CN,2722
29,Gukesh D,IN,2718
30,"Sjugirov, Sanan",RU,2712
31,"Shankland, Sam",US,2710
32,"Vallejo Pons, Francisco",ES,2710
33,"Dubov, Daniil",RU,2708
34,"Eljanov, Pavel",UA,2706
35,"Niemann, Hans Moke",US,2706
36,"Harikrishna, Pentala",IN,2705
37,"Robson, Ray",US,2702
38,Erigaisi Arjun,IN,2701
39,"Artemiev, Vladislav",RU,2701
40,"Deac, Bogdan-Daniel",RO,2700
41,"Sargissian, Gabriel",AM,2699
42,"Bu, Xiangzhi",CN,2698
43,"Tomashevsky, Evgeny",RU,2694
44,"Xiong, Jeffery",US,2692
45,"Keymer, Vincent",DE,2690
46,Praggnanandhaa R,IN,2690
47,"Amin, Bassem",EG,2688
48,"Adams, Michael",EN,2688
49,"Van Foreest, Jorden",NL,2687
50,"Sevian, Samuel",US,2687
51,"Martirosyan, Haik M.",AM,2686
52,"Alekseenko, Kirill",FF,2686
53,"Wojtaszek, Radoslaw",PL,2686
54,"Navara, David",CZ,2685
55,"Moussard, Jules",FR,2684
56,"Predke, Alexandr",FF,2684
57,"Anton Guijarro, David",ES,2679
58,"Kasimdzhanov, Rustam",UZ,2678
59,"Tabatabaei, M. Amin",IR,2677
60,"Almasi, Zoltan",HU,2677
61,"Salem, A.R. Saleh",AE,2677
62,"Esipenko, Andrey",FF,2675
63,"Fedoseev, Vladimir",FF,2674
64,"Kovalenko, Igor",UA,2674
65,"Li, Chao b",CN,2672
66,"Howell, David W L",EN,2670
67,"Gelfand, Boris",IL,2670
68,Nihal Sarin,IN,2670
69,Narayanan.S.L,IN,2669
70,"Sarana, Alexey",FF,2668
71,"Oparin, Grigoriy",US,2667
72,"Volokitin, Andrei",UA,2667
73,"Ni, Hua",CN,2667
74,"Najer, Evgeniy",FF,2666
75,"Shirov, Alexei",ES,2666
76,"Naiditsch, Arkadij",AZ,2665
77,"Kamsky, Gata",US,2664
78,"Ivanchuk, Vasyl",UA,2664
79,"Bluebaum, Matthias",DE,2663
80,"Matlakov, Maxim",RU,2662
81,"Shevchenko, Kirill",RO,2662
82,"Sindarov, Javokhir",UZ,2661
83,"Saric, Ivan",HR,2661
84,"Guseinov, Gadir",AZ,2661
85,"Inarkiev, Ernesto",FF,2661
86,"Grandelius, Nils",SE,2660
87,"Nguyen, Thai Dai Van",CZ,2659
88,"Cheparinov, Ivan",BG,2659
89,"Ma, Qun",CN,2659
90,"Santos Latasa, Jaime",ES,2657
91,"Tari, Aryan",NO,2656
92,"Ponomariov, Ruslan",UA,2655
93,"Donchenko, Alexander",DE,2654
94,"Nyzhnyk, Illya",UA,2654
95,"Bacrot, Etienne",FR,2653
96,"Cori, Jorge",PE,2650
97,"Malakhov, Vladimir",FF,2650
98,"Korobov, Anton",UA,2649
99,"Kryvoruchko, Yuriy",UA,2649
100,"Van Wely, Loek",NL,2648
