rank,name,fed,rating
1,"Karpov, Anatoly",URS,2720
2,"Timman, Jan H.",NED,2655
3,"Kortschnoj, Viktor",SUI,2645
4,"Kasparov, Garry",URS,2640
5,"Portisch, Lajos",HUN,2630
6,"Spassky, Boris V.",URS,2625
7,"Huebner, Robert",GER,2620
8,"Beliavsky, Alexander G.",URS,2615
9,"Mecking, Henrique",BRA,2615
10,"Andersson, Ulf",SWE,2605
11,"Larsen, Bent",DEN,2605
12,"Petrosian, Tigran",URS,2605
13,"Tal, Mikhail N.",URS,2605
14,"Ljubojevic, Ljubomir",YUG,2600
15,"Polugaevsky, Lev",URS,2600
16,"Balashov, Yuri S.",URS,2595
17,"Tseshkovsky, Vitaly",URS,2595
18,"Dolmatov, Sergey",URS,2590
19,"Hort, Vlastimil",CSR,2590
20,"Kavalek, Lubomir",USA,2590
21,"Nunn, John D. M.",ENG,2590
22,"Ribli, Zoltan",HUN,2590
23,"Browne, Walter S.",USA,2585
24,"Christiansen, Larry M.",USA,2585
25,"Romanishin, Oleg M.",URS,2580
26,"Sosonko, Gennadi",NED,2580
27,"Miles, Anthony J.",ENG,2575
28,"Seirawan, Yasser",USA,2575
29,"Kupreichik, Viktor D.",URS,2570
30,"Smejkal, Jan",CSR,2570
31,"Gulko, Boris F.",URS,2565
32,"Smyslov, Vassily",URS,2565
33,"Ftacnik, Lubomir",CSR,2560
34,"Yusupov, Artur",URS,2555
35,"Alburt, Lev O.",USA,2550
36,"Gheorghiu, Florin",ROM,2550
37,"Krogius, Nikolai V.",URS,2550
38,"Sax, Gyula",HUN,2550
39,"Speelman, Jonathan S.",ENG,2550
40,"Vaganian, Rafael A.",URS,2550
41,"Geller, Efim P.",URS,2545
42,"Kuzmin, Gennadi P.",URS,2545
43,"Psakhis, Lev",URS,2545
44,"Gligoric, Svetozar",YUG,2535
45,"Torre, Eugenio",PHI,2535
46,"Mikhalchishin, Adrian",URS,2530
47,"Olafsson, Fridrik",ISL,2530
48,"Schmid, Lothar",GER,2525
49,"Sveshnikov, Evgeny",URS,2525
50,"Pinter, Jozsef",HUN,2520
51,"Tarjan, James E.",USA,2520
52,"Adorjan, Andras",HUN,2515
53,"Byrne, Robert E.",USA,2515
54,"Evans, Larry M.",USA,2515
55,"Ivanov, Igor V.",CAN,2515
56,"Marjanovic, Slavoljub",YUG,2515
57,"Rashkovsky, Nukhim N.",URS,2515
58,"Uhlmann, Wolfgang",GDR,2515
59,"Dorfman, Josif D.",URS,2510
60,"Kurajica, Bojan",YUG,2510
61,"Najdorf, Miguel",ARG,2510
62,"Panno, Oscar",ARG,2510
63,"Szabo, Laszlo",HUN,2510
64,"Taimanov, Mark E.",URS,2510
65,"Unzicker, Wolfgang",GER,2510
66,"Csom, Istvan",HUN,2505
67,"Franco Ocampos, Zenon",PAR,2505
68,"Gruenfeld, Yehuda",ISR,2505
69,"Keene, Raymond D.",ENG,2505
70,"Kochyev, Alexander",URS,2505
71,"Lombardy, William J.",USA,2505
72,"Makarichev, Sergey",URS,2505
73,"Palatnik, Semon",URS,2505
74,"Quinteros, Miguel A.",ARG,2505
75,"Radulov, Ivan",BUL,2505
76,"Rogoff, Kenneth S.",USA,2505
77,"Stean, Michael F.",ENG,2505
78,"Giorgadze, Tamaz",URS,2500
79,"Karlsson, Lars",SWE,2500
80,"Lerner, Konstantin Z.",URS,2500
81,"Mestel, A. Jonathan",ENG,2500
82,"Pfleger, Helmut",GER,2500
83,"Reshevsky, Samuel H.",USA,2500
84,"Suba, Mihai",ROM,2500
85,"Tukmakov, Vladimir B.",URS,2500
86,"Velimirovic, Dragoljub",YUG,2500
87,"Bagirov, Vladimir",URS,2495
88,"Bronstein, David I.",URS,2495
89,"Cebalo, Miso",YUG,2495
90,"Darga, Klaus",GER,2495
91,"Gurgenidze, Bukhuti",URS,2495
92,"Inkiov, Ventzislav",BUL,2495
93,"Kholmov, Ratmir D.",URS,2495
94,"Knaak, Rainer",GDR,2495
95,"Kovacevic, Vladimir",YUG,2495
96,"Matanovic, Aleksandar",YUG,2495
97,"Ney, Iivo",URS,2495
98,"Nogueiras, Jesus",CUB,2495
99,"Popovic, Petar",YUG,2495
100,"Timoshchenko, Gennadi A.",URS,2495
