rank,name,fed,rating
1,"Lyell, Mark",ENG,36
2,"Vasquez Schroeder, Rodrigo",CHI,33
3,"Abbasifar, Hasan",IRI,32
4,"Janev, Pavel",BUL,32
5,"Keshmiri, Abdol Rahman",IRI,32
6,"Nadimifar, Adnan",IRI,32
7,"Henriquez Villagra, Cristobal",CHI,28
8,"Hernandez Riera, Jose",CHI,28
9,"Kojima, Shinya",JPN,28
10,"Abarca Gonzalez, Nicolas",CHI,27
11,"Arvola, Benjamin",NOR,27
12,"Wafa, Shrook",EGY,27
13,"Jovanovic, Zoran",CRO,26
14,"Lagashin, Pavel",RUS,26
15,"Opanasenko, Mikhail",RUS,26
16,"Samu, Sorin-Mihai",ROU,26
17,"Sheynin, Izrail",RUS,26
18,"Striechman, Orri",ISR,25
19,"Bird, Andrew",AUS,24
20,"Boruchovsky, Avital",ISR,24
21,"Burrows, Martin P",ENG,24
22,"Diermair, Andreas",AUT,24
23,"Gascon, Jose Rafael",VEN,24
24,"Lupascu, Matei-Alexandru",ROU,24
25,"Khalifa, Al Zadjali",UAE,23
26,"Sa, Kannan",IND,23
27,"Tirado, Henry",VEN,23
28,Barath Kalyan M,IND,22
29,"Caceres Vasquez, Sergio",CHI,22
30,"Sharipov, Aidar",RUS,22
31,"Valdes Escobar, Alvaro",CHI,22
32,"Zavarce, Oscar Enrique",VEN,22
33,"Albu, George",ROU,21
34,"Cordeiro, Marco Aurelio Zaror",BRA,21
35,"Drazic, Sinisa",SRB,21
36,"Esen, Baris",TUR,21
37,"Fazretdinov, Marat",RUS,21
38,"Fernandez, Fernando",PER,21
39,"Forozani, Mohamad",IRI,21
40,"Fridman, Daniel",GER,21
41,Hirthickkesh PR,IND,21
42,"Ipatov, Alexander",TUR,21
43,"Martinez Alcantara, Jose Eduardo",PER,21
44,"Naderi, M.sadegh",IRI,21
45,"Sienczewski, Zbigniew",POL,21
46,"Solak, Dragan",TUR,21
47,"Adams, Michael",ENG,20
48,"Almeida Quintana, Omar",CUB,20
49,"Baron, Tal",ISR,20
50,"Cuellar, Diego",PER,20
51,"Diaz Murgada, Rider",CUB,20
52,"Espinosa Veloz, Ermes",CUB,20
53,"Gerayeli, Kiarash",IRI,20
54,"Hernandez Carmenate, Holden",CUB,20
55,"Hevia Alejano, Carlos Antonio",CUB,20
56,"Jaunooby, Ali R",ENG,20
57,"Jones, Gawain C B",ENG,20
58,"Karandikar, Sanjay",IND,20
59,"Kjartansson, Gudmundur",ISL,20
60,"Krzymionka, Karol",POL,20
61,"Kveinys, Aloyzas",LTU,20
62,"Maze, Sebastien",FRA,20
63,"Mesias Rojas, Rabindranath",CHI,20
64,"Mucha, Piotr",POL,20
65,"Navara, David",CZE,20
66,"Nevednichy, Vladislav",ROU,20
67,"Otero Acosta, Diasmany",CUB,20
68,"Parligras, Mircea-Emilian",ROU,20
69,"Pazos, Marco",PER,20
70,"Pelizzola, Danilo",ITA,20
71,"Prabajith, Asela",SRI,20
72,"Quesada Vera, Liordis",CUB,20
73,"Salinas Herrera, Pablo",CHI,20
74,"Stegariu, Vlad-Ionut",ROU,20
75,"Tari, Aryan",NOR,20
76,"Torres Bravo, Cristobal",CHI,20
77,"Vachier-Lagrave, Maxime",FRA,20
78,"Yu, Yangyi",CHN,20
79,"Ageeva, Vasilisa",RUS,19
80,"Berescu, Alin-Mile",ROU,19
81,"Carito, Riccardo",ITA,19
82,"Cheparinov, Ivan",BUL,19
83,"Chumpitaz, Ann",PER,19
84,"Cori T., Deysi",PER,19
85,"Cunha, Lucas Aguiar",BRA,19
86,"Czaplewska, Klara",POL,19
87,"De Oliveira, Licio Lopes",BRA,19
88,"Farkas, Tibor",SRB,19
89,"Felgaer, Ruben",ARG,19
90,"Garbowski, Jakub",POL,19
91,"Geiger, Alex-Emanuel",ROU,19
92,"Georgescu, Tiberiu-Marian",ROU,19
93,"Harika, Dronavalli",IND,19
94,Harish Raghavendra S,IND,19
95,"Hatem, Ayman",EGY,19
96,"Hnydiuk, Aleksander",POL,19
97,"Holmatov, Shohruh",UZB,19
98,"Iturrizaga, Eduardo",VEN,19
99,"Karavade, Eesha",IND,19
100,"Kashlinskaya, Alina",RUS,19
