rank,name,fed,rating
1,Harikrishnan.A.Ra,IND,46
2,"Nishanth, V G",IND,41
3,Senthil Maran K,IND,41
4,Alan Diviya Raj,IND,40
5,Karthik Raj C,IND,40
6,"Sa, Kannan",IND,40
7,Vishwak S,IND,39
8,Mohan Ram Sridhar,IND,38
9,Ojas Kulkarni,IND,38
10,"Saranya, Y",IND,38
11,Prajesh R,IND,37
12,Erigaisi Arjun,IND,36
13,Harshita Guddanti,IND,36
14,Hemanth Raam,IND,36
15,"Subramanian, T.V.",IND,36
16,"Chakravarthi Reddy, M",IND,35
17,"Monnisha, GK",IND,35
18,Tarun V Kanth,IND,35
19,"Akash Pc, Iyer",IND,34
20,"Aziz Ortego, Omar Luis",ESP,34
21,Barath Kalyan M,IND,34
22,"Febrero Perez, Lluis",ESP,34
23,"Iljin, Timofey",UKR,34
24,"Vijay, Anand M.",IND,34
25,Ambareesh. P,IND,33
26,"Rajeev, V.M.",IND,33
27,"Saket, Kumar",IND,33
28,Shelke Sankarsha,IND,33
29,Jain Arnavv,IND,32
30,"Savant, Riya",IND,32
31,Akash Lal O,IND,31
32,"Dabrowski, Maciej",POL,31
33,"De Filomeno, Simone",ITA,31
34,"Surya Dhanush, G",IND,31
35,"Bruzon Batista, Lazaro",CUB,30
36,"Gueci, Laura",ITA,30
37,"Ivanov, Mikhail M",RUS,30
38,Niranjan R,IND,30
39,"Petkov, Vladimir",BUL,30
40,Pradharsan V,IND,30
41,Saurabh Anand,IND,30
42,"Yurtseven, Melih",TUR,30
43,Banjan Priyadarshan,IND,29
44,"Cingoz, Ozan",TUR,29
45,"Darban, Morteza",IRI,29
46,"Fier, Alexandr",BRA,29
47,Karmukilan S,IND,29
48,Nirgun Keval,IND,29
49,Aansh Gupta,IND,28
50,"Ahmadinia, Ebrahim",IRI,28
51,"Drasko, Milan",MNE,28
52,"Gascon, Jose Rafael",VEN,28
53,"Kalangiam, S",IND,28
54,"Kjartansson, Gudmundur",ISL,28
55,Lakshmi C,IND,28
56,"Lorenzo De La Riva, Lazaro",ESP,28
57,"Mirzoev, Azer",AZE,28
58,"Molano Lafuente, Ismael",ESP,28
59,"Sai Agni Jeevitesh, J",IND,28
60,"Simantsev, Mikhail",UKR,28
61,"Soysal, Serkan",TUR,28
62,"ThamaraiSelvi, P",IND,28
63,"Cebalo, Miso",CRO,27
64,"Colom Andres, Xavier",ESP,27
65,"Dvirnyy, Danyyil",ITA,27
66,"Fercec, Nenad",CRO,27
67,"Ferres Saez, Joan",ESP,27
68,Jayakumar S,IND,27
69,"Korneev, Oleg",ESP,27
70,"Loncar, Robert",CRO,27
71,"Mchedlishvili, Mikheil",GEO,27
72,"Mrdja, Milan",CRO,27
73,Prahadheeshwar C M,IND,27
74,"Rasulov, Vugar",AZE,27
75,"Rogulj, Branko",CRO,27
76,"Sathyanarayanan, S.",IND,27
77,Shakthi Vishal J,IND,27
78,"Tortosa Moros, Joan",ESP,27
79,Upendra R,IND,27
80,"Zufic, Miroslav",CRO,27
81,"Baghdasaryan, Vahe",ARM,26
82,"Boixader Arbo, Xavier",ESP,26
83,"Cruz, Cristhian",PER,26
84,Dheekshith Kumar R,IND,26
85,"Escofet Llongueras, Joan",ESP,26
86,"Gomez Albamonte, Sonia",ESP,26
87,"Heinechen, John",PAR,26
88,Hirthickkesh PR,IND,26
89,"Iermito, Sebastian",ARG,26
90,Mythireyan P,IND,26
91,Narendran V,IND,26
92,"Perez Mitjans, Orelvis",ESP,26
93,"Raghav,Srivathsav V",IND,26
94,Raja Rithvik R,IND,26
95,"Saez Coma, Alejandro",ESP,26
96,"Sahin, Ozgun",TUR,26
97,Sai Vishwesh.C,IND,26
98,"Serentill Tost, Eduard",ESP,26
99,"Shailesh, Dravid",IND,26
100,"Vassalam, Mohammad Taghi",IRI,26
