rank,name,fed,rating
1,Hari Suresh,IND,41
2,Prasath K R,IND,41
3,"Prasanta, Mondal",IND,38
4,"Ninov, Nikolai",BUL,35
5,Sasikumar.S,IND,35
6,"Jha, Kishor",IND,33
7,Kumara Swamy M,IND,33
8,"Martinez Ramirez, Lennis",CUB,33
9,"Soto Hernandez, Henry",CUB,33
10,"Ivanov, Mikhail M",RUS,32
11,Raja V,IND,32
12,"Fathima,Abdeen",IND,31
13,"Jayesh,T A",IND,31
14,"Koziak, Vitali",UKR,31
15,"Petkov, Vladimir",BUL,31
16,"Vinu,Unnikrishnan",IND,31
17,"Al-Tarbosh, Ward",SYR,30
18,"Iyti, Basher",SYR,30
19,Shaik Abdul Kalam,IND,30
20,Sumesh Kabeer,IND,30
21,Bino Sebastian,IND,29
22,Dijo Cherian,IND,29
23,Ganesh M,IND,29
24,Nagaraj Naik,IND,29
25,"Petrisor, Adrian-Marian",ROU,29
26,Rathneesh R,IND,29
27,Shreyas M,IND,29
28,Arjun Adappa,IND,28
29,Arjun Kalyan,IND,28
30,Arun S,IND,28
31,Chandar Raju,IND,28
32,Harshita Guddanti,IND,28
33,Jaya Suriyah Ayyappan,IND,28
34,"Lopez Gonzalez, Abel Fabian",CUB,28
35,Marthandan K U,IND,28
36,"Narendiran, P",IND,28
37,"Sanchez Enriquez, Oscar Gerardo",MEX,28
38,Shet Prajwal P,IND,28
39,Yashaskara Jois K.R,IND,28
40,"Akshaya, Nandakumar",IND,27
41,"Andersen, Daniel",DEN,27
42,"Bachmann, Axel",PAR,27
43,Dileep Kumar R,IND,27
44,Divya Lakshmi R,IND,27
45,"Enchev, Ivajlo",BUL,27
46,Harshini A,IND,27
47,"Hernandez Moya, Yuleisy",CUB,27
48,"Mrdja, Milan",CRO,27
49,"Muralidharan, R.",IND,27
50,"Nikolov, Momchil",BUL,27
51,Prashanth J Naik,IND,27
52,"Ramakrishnan, V",IND,27
53,"Rodriguez Redondo, Ethan",ESP,27
54,Santhosh V R,IND,27
55,Shelke Sankarsha,IND,27
56,Siddiqui Mohd.Imran,IND,27
57,Subramanian PL,IND,27
58,Varshini A,IND,27
59,"Visveshwar, A",IND,27
60,"Vitier Vazquez, Cristian",CUB,27
61,Abijit Mistry,IND,26
62,"Amangeldiyev, Gurbangeldi,",TKM,26
63,Bala kannamma.P,IND,26
64,Biju Kumar,IND,26
65,Dharani Kumar M S,IND,26
66,Girinath B S,IND,26
67,Jain Aum,IND,26
68,"Karpatchev, Aleksandr",RUS,26
69,"Kohlweyer, Bernd",GER,26
70,Likhit Chilukuri,IND,26
71,"Polyakov, Maxim",UKR,26
72,Rohit Vassan S,IND,26
73,"Saranya, Y",IND,26
74,"Saughanthika, AS",IND,26
75,"Vaibhav, Barahate",IND,26
76,Vignesh R,IND,26
77,"Vignesh, B",IND,26
78,"Aadhityaa, M",IND,25
79,Aarudhra Ganesh,IND,25
80,"Atabayev, Saparmyrat",TKM,25
81,"Del Rio De Angelis, Salvador G.",ESP,25
82,"Echevarria Del Toro, Vladimir",CUB,25
83,"Garcia Del Rey, Senen",ESP,25
84,Harikrishnan A R,IND,25
85,Jatin S N,IND,25
86,Jayakumaar S,IND,25
87,Karmukilan S,IND,25
88,Kuldeep Sharma,IND,25
89,"Kutty, T P C",IND,25
90,"Lalic, Bogdan",CRO,25
91,"Lazic, Miroljub",SRB,25
92,"Marholev, Dimitar",BUL,25
93,"Morales Marmol, Marcos Antonio",CUB,25
94,Narendran V,IND,25
95,Naveen H J,IND,25
96,Ojas Kulkarni,IND,25
97,"Opasiak, Dustin Tennessee",GER,25
98,"Pap, Misa",SRB,25
99,Prajesh R,IND,25
100,Ramesh Krishnan AR,IND,25
