rank,name,fed,rating
1,"Carlsen, Magnus",NO,2830
2,"Caruana, Fabiano",US,2804
3,"Nakamura, Hikaru",US,2789
4,"Ding, Liren",CN,2762
5,"Giri, Anish",NL,2762
6,"Firouzja, Alireza",FR,2760
7,"Nepomniachtchi, Ian",RU,2758
8,"So, Wesley",US,2757
9,"Wei, Yi",CN,2755
10,"Anand, Viswanathan",IN,2751
11,"Abdusattorov, Nodirbek",UZ,2750
12,"Karjakin, Sergey",RU,2750
13,"Dominguez Perez, Leinier",US,2749
14,Erigaisi Arjun,IN,2748
15,Gukesh D,IN,2747
16,Praggnanandhaa R,IN,2747
17,"Vidit, Santosh Gujrathi",IN,2747
18,"Keymer, Vincent",DE,2738
19,"Mamedyarov, Shakhriyar",AZ,2734
20,"Grischuk, Alexander",RU,2732
21,"Duda, Jan-Krzysztof",PL,2731
22,Le Quang Liem,VN,2731
23,"Vachier-Lagrave, Maxime",FR,2728
24,"Topalov, Veselin",BG,2727
25,"Radjabov, Teimour",AZ,2723
26,"Aronian, Levon",US,2722
27,"Rapport, Richard",RO,2720
28,"Yu, Yangyi",CN,2720
29,"Maghsoodloo, Parham",IR,2717
30,"Artemiev, Vladislav",RU,2711
31,"Dubov, Daniil",RU,2708
32,"Eljanov, Pavel",UA,2706
33,"Esipenko, Andrey",FF,2702
34,"Wang, Hao",CN,2702
35,"Harikrishna, Pentala",IN,2701
36,"Sindarov, Javokhir",UZ,2701
37,"Sarana, Alexey",RS,2699
38,Nihal Sarin,IN,2698
39,"Sevian, Samuel",US,2697
40,"Robson, Ray",US,2696
41,"Tabatabaei, M. Amin",IR,2696
42,Narayanan.S.L,IN,2695
43,"Sjugirov, Sanan",HU,2690
44,"Deac, Bogdan-Daniel",RO,2690
45,"Fedoseev, Vladimir",SI,2690
46,"Svidler, Peter",FF,2689
47,"Vitiugov, Nikita",EN,2688
48,"Kasimdzhanov, Rustam",UZ,2687
49,"Martirosyan, Haik M.",AM,2681
50,"Tomashevsky, Evgeny",RU,2681
51,"Bacrot, Etienne",FR,2680
52,"Niemann, Hans Moke",US,2676
53,"Howell, David W L",EN,2675
54,"Shankland, Sam",US,2674
55,"Van Foreest, Jorden",NL,2672
56,"Adams, Michael",EN,2671
57,"Wojtaszek, Radoslaw",PL,2671
58,"Anton Guijarro, David",ES,2671
59,"Bu, Xiangzhi",CN,2671
60,"Oparin, Grigoriy",US,2671
61,"Sargissian, Gabriel",AM,2671
62,"Amin, Bassem",EG,2670
63,"Saric, Ivan",HR,2670
64,"Shevchenko, Kirill",RO,2670
65,"Navara, David",CZ,2669
66,"Volokitin, Andrei",UA,2667
67,"Leko, Peter",HU,2666
68,"Predke, Alexandr",RS,2665
69,"Grandelius, Nils",SE,2664
70,"Najer, Evgeniy",FF,2663
71,"Korobov, Anton",UA,2662
72,"Aravindh, Chithambaram VR.",IN,2662
73,"Matlakov, Maxim",RU,2662
74,"Naiditsch, Arkadij",AZ,2661
75,"Yakubboev, Nodirbek",UZ,2661
76,"Gelfand, Boris",IL,2660
77,"Shirov, Alexei",ES,2658
78,"Inarkiev, Ernesto",FF,2658
79,"Bluebaum, Matthias",DE,2655
80,"Kryvoruchko, Yuriy",UA,2654
81,"Wang, Yue",CN,2654
82,"Vallejo Pons, Francisco",ES,2653
83,"Li, Chao b",CN,2651
84,"Ma, Qun",CN,2651
85,"Mamedov, Rauf",AZ,2651
86,"Bartel, Mateusz",PL,2650
87,"Alekseenko, Kirill",AT,2650
88,"Sadhwani, Raunak",IN,2649
89,"Ni, Hua",CN,2649
90,"Malakhov, Vladimir",FF,2648
91,"Ter-Sahakyan, Samvel",AM,2646
92,"Ponomariov, Ruslan",UA,2646
93,"Xiong, Jeffery",US,2645
94,"Bjerre, Jonas Buhl",DK,2644
95,"Pichot, Alan",ES,2644
96,"Liang, Awonder",US,2642
97,"Yilmaz, Mustafa",TR,2641
98,"Melkumyan, Hrant",AM,2640
99,"Lagarde, Maxime",FR,2638
100,"Cheparinov, Ivan",BG,2638
