rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2837
2,"Kasparov, Garry",RUS,2812
3,"Aronian, Levon",ARM,2805
4,"Caruana, Fabiano",USA,2799
5,"Mamedyarov, Shakhriyar",AZE,2799
6,"Vachier-Lagrave, Maxime",FRA,2789
7,"So, Wesley",USA,2788
8,"Kramnik, Vladimir",RUS,2787
9,"Anand, Viswanathan",IND,2782
10,"Nakamura, Hikaru",USA,2781
11,"Ding, Liren",CHN,2777
12,"Grischuk, Alexander",RUS,2772
13,"Svidler, Peter",RUS,2765
14,"Karjakin, Sergey",RUS,2760
15,"Giri, Anish",NED,2752
16,"Yu, Yangyi",CHN,2751
17,"Topalov, Veselin",FID,2749
18,"Radjabov, Teimour",AZE,2748
19,"Harikrishna, P.",IND,2744
20,"Wei, Yi",CHN,2743
21,"Navara, David",CZE,2740
22,"Dominguez Perez, Leinier",CUB,2739
23,"Le, Quang Liem",VIE,2737
24,"Wojtaszek, Radoslaw",POL,2736
25,"Matlakov, Maxim",RUS,2735
26,"Li, Chao b",CHN,2732
27,"Bu, Xiangzhi",CHN,2730
28,"Jakovenko, Dmitry",RUS,2730
29,"Nepomniachtchi, Ian",RUS,2729
30,"Ivanchuk, Vassily",UKR,2726
31,"Bacrot, Etienne",FRA,2725
32,"Vitiugov, Nikita",RUS,2722
33,"Fedoseev, Vladimir",RUS,2718
34,"Duda, Jan-Krzysztof",POL,2717
35,"Adams, Michael",ENG,2715
36,"Vidit, Santosh Gujrathi",IND,2715
37,"Tomashevsky, Evgeny",RUS,2713
38,"Andreikin, Dmitry",RUS,2712
39,"Eljanov, Pavel",UKR,2711
40,"Cheparinov, Ivan",FID,2710
41,"Mamedov, Rauf",AZE,2709
42,"Wang, Hao",CHN,2709
43,"Rapport, Richard",HUN,2707
44,"Vallejo Pons, Francisco",ESP,2707
45,"Naiditsch, Arkadij",AZE,2705
46,"Kuzubov, Yuriy",UKR,2699
47,"Rodshtein, Maxim",ISR,2699
48,"Gelfand, Boris",ISR,2697
49,"Najer, Evgeniy",RUS,2696
50,"Ponomariov, Ruslan",UKR,2694
51,"Artemiev, Vladislav",RUS,2691
52,"Leko, Peter",HUN,2691
53,"Jobava, Baadur",GEO,2690
54,"Wang, Yue",CHN,2690
55,"Amin, Bassem",EGY,2689
56,"Inarkiev, Ernesto",RUS,2689
57,"Kryvoruchko, Yuriy",UKR,2689
58,"Malakhov, Vladimir",RUS,2686
59,"Sadler, Matthew D",ENG,2685
60,"Dubov, Daniil",RUS,2683
61,"Kasimdzhanov, Rustam",UZB,2683
62,"Rublevsky, Sergei",RUS,2683
63,"Almasi, Zoltan",HUN,2682
64,"Onischuk, Alexander",USA,2681
65,"Hou, Yifan",CHN,2680
66,"Sasikiran, Krishnan",IND,2680
67,"Short, Nigel D",ENG,2678
68,"Kamsky, Gata",USA,2677
69,"Howell, David W L",ENG,2676
70,"Motylev, Alexander",RUS,2675
71,"Polgar, Judit",HUN,2675
72,"Gyimesi, Zoltan",HUN,2674
73,"Sutovsky, Emil",ISR,2673
74,"Bruzon Batista, Lazaro",CUB,2672
75,"Kravtsiv, Martyn",UKR,2672
76,"Sargissian, Gabriel",ARM,2672
77,"Krasenkow, Michal",POL,2671
78,"Ni, Hua",CHN,2671
79,"Nisipeanu, Liviu-Dieter",GER,2671
80,"Saric, Ivan",CRO,2669
81,"Akopian, Vladimir",ARM,2667
82,"Moiseenko, Alexander",UKR,2667
83,"Anton Guijarro, David",ESP,2666
84,"Bareev, Evgeny",CAN,2666
85,"Iturrizaga Bonelli, Eduardo",VEN,2665
86,"Morozevich, Alexander",RUS,2665
87,"Fressinet, Laurent",FRA,2662
88,"Shankland, Samuel",USA,2662
89,"Cori, Jorge",PER,2660
90,"Demchenko, Anton",RUS,2660
91,"Tkachiev, Vladislav",FRA,2660
92,"Ipatov, Alexander",TUR,2659
93,"Berkes, Ferenc",HUN,2658
94,"Lautier, Joel",FRA,2658
95,"Grachev, Boris",RUS,2657
96,"Granda Zuniga, Julio E",PER,2657
97,"Nabaty, Tamir",ISR,2657
98,"Ragger, Markus",AUT,2657
99,"Van Wely, Loek",NED,2657
100,"Negi, Parimarjan",IND,2656
