rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2822
2,"Kasparov, Garry",RUS,2812
3,"So, Wesley",USA,2810
4,"Caruana, Fabiano",USA,2807
5,"Kramnik, Vladimir",RUS,2803
6,"Aronian, Levon",ARM,2799
7,"Mamedyarov, Shakhriyar",AZE,2797
8,"Nakamura, Hikaru",USA,2792
9,"Vachier-Lagrave, Maxime",FRA,2789
10,"Anand, Viswanathan",IND,2783
11,"Grischuk, Alexander",RUS,2783
12,"Ding, Liren",CHN,2777
13,"Karjakin, Sergey",RUS,2773
14,"Giri, Anish",NED,2772
15,"Wei, Yi",CHN,2753
16,"Nepomniachtchi, Ian",RUS,2751
17,"Svidler, Peter",RUS,2751
18,"Topalov, Veselin",BUL,2749
19,"Wojtaszek, Radoslaw",POL,2745
20,"Li, Chao b",CHN,2744
21,"Yu, Yangyi",CHN,2744
22,"Harikrishna, P.",IND,2743
23,"Radjabov, Teimour",AZE,2742
24,"Dominguez Perez, Leinier",CUB,2739
25,"Le, Quang Liem",VIE,2739
26,"Adams, Michael",ENG,2738
27,"Navara, David",CZE,2737
28,"Eljanov, Pavel",UKR,2734
29,"Fedoseev, Vladimir",RUS,2731
30,"Gelfand, Boris",ISR,2729
31,"Ivanchuk, Vassily",UKR,2728
32,"Matlakov, Maxim",RUS,2728
33,"Vitiugov, Nikita",RUS,2724
34,"Vallejo Pons, Francisco",ESP,2717
35,"Bacrot, Etienne",FRA,2715
36,"Bu, Xiangzhi",CHN,2710
37,"Jakovenko, Dmitry",RUS,2710
38,"Naiditsch, Arkadij",AZE,2710
39,"Tomashevsky, Evgeny",RUS,2710
40,"Almasi, Zoltan",HUN,2707
41,"Duda, Jan-Krzysztof",POL,2707
42,"Najer, Evgeniy",RUS,2707
43,"Andreikin, Dmitry",RUS,2706
44,"Howell, David W L",ENG,2702
45,"Inarkiev, Ernesto",RUS,2702
46,"Wang, Hao",CHN,2702
47,"Wang, Yue",CHN,2699
48,"Cheparinov, Ivan",BUL,2696
49,"Malakhov, Vladimir",RUS,2696
50,"Rodshtein, Maxim",ISR,2695
51,"Vidit, Santosh Gujrathi",IND,2693
52,"Artemiev, Vladislav",RUS,2692
53,"Kryvoruchko, Yuriy",UKR,2692
54,"Ponomariov, Ruslan",UKR,2692
55,"Sasikiran, Krishnan",IND,2688
56,"Short, Nigel D",ENG,2688
57,"Jobava, Baadur",GEO,2687
58,"Nisipeanu, Liviu-Dieter",GER,2687
59,"Sadler, Matthew D",ENG,2687
60,"Rublevsky, Sergei",RUS,2683
61,"Sutovsky, Emil",ISR,2683
62,"Onischuk, Alexander",USA,2682
63,"Amin, Bassem",EGY,2680
64,"Mamedov, Rauf",AZE,2680
65,"Kamsky, Gata",USA,2678
66,"Leko, Peter",HUN,2678
67,"Moiseenko, Alexander",UKR,2678
68,"Adhiban, B.",IND,2677
69,"Movsesian, Sergei",ARM,2677
70,"Ni, Hua",CHN,2677
71,"Kasimdzhanov, Rustam",UZB,2676
72,"Morozevich, Alexander",RUS,2675
73,"Motylev, Alexander",RUS,2675
74,"Polgar, Judit",HUN,2675
75,"Rapport, Richard",HUN,2675
76,"Gyimesi, Zoltan",HUN,2674
77,"Markus, Robert",SRB,2672
78,"Shankland, Samuel L",USA,2671
79,"Korobov, Anton",UKR,2668
80,"Akopian, Vladimir",ARM,2667
81,"Bareev, Evgeny",CAN,2666
82,"Dubov, Daniil",RUS,2666
83,"Riazantsev, Alexander",RUS,2666
84,"Kravtsiv, Martyn",UKR,2665
85,"Laznicka, Viktor",CZE,2664
86,"Rakhmanov, Aleksandr",RUS,2663
87,"Akobian, Varuzhan",USA,2662
88,"Granda Zuniga, Julio E",PER,2662
89,"Iturrizaga Bonelli, Eduardo",VEN,2662
90,"Jones, Gawain C B",ENG,2660
91,"Tkachiev, Vladislav",FRA,2660
92,"Ipatov, Alexander",TUR,2659
93,"Berkes, Ferenc",HUN,2658
94,"Ganguly, Surya Shekhar",IND,2658
95,"Lautier, Joel",FRA,2658
96,"Negi, Parimarjan",IND,2656
97,"Ragger, Markus",AUT,2656
98,"Anton Guijarro, David",ESP,2654
99,"Grachev, Boris",RUS,2654
100,"Guseinov, Gadir",AZE,2654
