rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2827
2,"Kasparov, Garry",RUS,2812
3,"Vachier-Lagrave, Maxime",FRA,2804
4,"Kramnik, Vladimir",RUS,2803
5,"Aronian, Levon",ARM,2802
6,"Caruana, Fabiano",USA,2799
7,"Mamedyarov, Shakhriyar",AZE,2797
8,"Anand, Viswanathan",IND,2794
9,"So, Wesley",USA,2792
10,"Grischuk, Alexander",RUS,2788
11,"Nakamura, Hikaru",USA,2781
12,"Karjakin, Sergey",RUS,2780
13,"Giri, Anish",NED,2777
14,"Ding, Liren",CHN,2771
15,"Svidler, Peter",RUS,2756
16,"Yu, Yangyi",CHN,2750
17,"Topalov, Veselin",BUL,2749
18,"Wei, Yi",CHN,2748
19,"Li, Chao b",CHN,2745
20,"Radjabov, Teimour",AZE,2742
21,"Harikrishna, P.",IND,2741
22,"Nepomniachtchi, Ian",RUS,2741
23,"Dominguez Perez, Leinier",CUB,2739
24,"Le, Quang Liem",VIE,2739
25,"Wojtaszek, Radoslaw",POL,2739
26,"Adams, Michael",ENG,2738
27,"Gelfand, Boris",ISR,2737
28,"Eljanov, Pavel",UKR,2734
29,"Fedoseev, Vladimir",RUS,2731
30,"Bacrot, Etienne",FRA,2728
31,"Matlakov, Maxim",RUS,2728
32,"Vitiugov, Nikita",RUS,2728
33,"Ivanchuk, Vassily",UKR,2727
34,"Navara, David",CZE,2720
35,"Vallejo Pons, Francisco",ESP,2716
36,"Bu, Xiangzhi",CHN,2714
37,"Jakovenko, Dmitry",RUS,2710
38,"Tomashevsky, Evgeny",RUS,2710
39,"Andreikin, Dmitry",RUS,2708
40,"Almasi, Zoltan",HUN,2707
41,"Jobava, Baadur",GEO,2702
42,"Naiditsch, Arkadij",AZE,2702
43,"Vidit, Santosh Gujrathi",IND,2702
44,"Howell, David W L",ENG,2701
45,"Wang, Hao",CHN,2701
46,"Amin, Bassem",EGY,2699
47,"Wang, Yue",CHN,2699
48,"Duda, Jan-Krzysztof",POL,2698
49,"Short, Nigel D",ENG,2698
50,"Cheparinov, Ivan",BUL,2695
51,"Rodshtein, Maxim",ISR,2695
52,"Inarkiev, Ernesto",RUS,2694
53,"Najer, Evgeniy",RUS,2694
54,"Ponomariov, Ruslan",UKR,2694
55,"Artemiev, Vladislav",RUS,2692
56,"Kryvoruchko, Yuriy",UKR,2692
57,"Malakhov, Vladimir",RUS,2691
58,"Kuzubov, Yuriy",UKR,2688
59,"Sadler, Matthew D",ENG,2687
60,"Rublevsky, Sergei",RUS,2683
61,"Sutovsky, Emil",ISR,2683
62,"Onischuk, Alexander",USA,2682
63,"Leko, Peter",HUN,2679
64,"Mamedov, Rauf",AZE,2678
65,"Kamsky, Gata",USA,2676
66,"Kasimdzhanov, Rustam",UZB,2676
67,"Morozevich, Alexander",RUS,2676
68,"Sasikiran, Krishnan",IND,2676
69,"Polgar, Judit",HUN,2675
70,"Rapport, Richard",HUN,2675
71,"Gyimesi, Zoltan",HUN,2674
72,"Moiseenko, Alexander",UKR,2674
73,"Ni, Hua",CHN,2674
74,"Nisipeanu, Liviu-Dieter",GER,2674
75,"Movsesian, Sergei",ARM,2671
76,"Adhiban, B.",IND,2670
77,"Hou, Yifan",CHN,2670
78,"Kravtsiv, Martyn",UKR,2670
79,"Rakhmanov, Aleksandr",RUS,2669
80,"Jones, Gawain C B",ENG,2668
81,"Motylev, Alexander",RUS,2668
82,"Akopian, Vladimir",ARM,2667
83,"Bareev, Evgeny",CAN,2666
84,"Dubov, Daniil",RUS,2666
85,"Riazantsev, Alexander",RUS,2666
86,"Ganguly, Surya Shekhar",IND,2665
87,"Iturrizaga Bonelli, Eduardo",VEN,2665
88,"Akobian, Varuzhan",USA,2662
89,"Saric, Ivan",CRO,2662
90,"Shankland, Samuel",USA,2662
91,"Berkes, Ferenc",HUN,2661
92,"Nabaty, Tamir",ISR,2661
93,"Van Wely, Loek",NED,2661
94,"Tkachiev, Vladislav",FRA,2660
95,"Ipatov, Alexander",TUR,2659
96,"Ragger, Markus",AUT,2659
97,"Lautier, Joel",FRA,2658
98,"Fressinet, Laurent",FRA,2657
99,"Anton Guijarro, David",ESP,2656
100,"Negi, Parimarjan",IND,2656
