rank,name,fed,rating
1,Dave Sneh,IND,42
2,"Kostouros, Alexandros",GRE,38
3,"Sienczewski, Zbigniew",POL,37
4,Kruthika Sre M D,IND,34
5,Moghe Parth,IND,33
6,"Gasimov, Parviz",AZE,32
7,"Naumkin, Igor",RUS,32
8,"Vesdekis, Konstantinos",GRE,32
9,"Ram, S. Krishnan",IND,31
10,"Arpita, Mukherjee",IND,30
11,"Singh, Vishnu",TTO,30
12,"Alvarez Pedraza, Aramis",CUB,29
13,"Blagojevic, Dragisa",MNE,29
14,Ghosh Samriddhaa,IND,29
15,"Hernandez, Diego",ESA,29
16,"Pourkashiyan, Atousa",IRI,29
17,Rajkumar Duvvuri,IND,29
18,"Alikulov, Elbek",UZB,28
19,Arka Sengupta,IND,28
20,"De Silva, Osheen",SRI,28
21,"Sai Agni Jeevitesh, J",IND,28
22,Srijit Paul,IND,28
23,"Tabatabaei, M.amin",IRI,28
24,"Bai, Jinshi",CHN,27
25,"Derakhshani, Borna",IRI,27
26,"Derakhshani, Dorsa",IRI,27
27,"Gabuzyan, Hovhannes",ARM,27
28,Isha Sharma,IND,27
29,"Morchiashvili, Bachana",GEO,27
30,"Rozycki, Bartlomiej",POL,27
31,"Sergeev, Dmitry",RUS,27
32,Sharsha Backer,IND,27
33,"Soozankar, A.M.",IRI,27
34,Adhithya S,IND,26
35,"Arab, Adlane",ALG,26
36,"Harper, Ryan",TTO,26
37,"Kuzmin, Ilya",RUS,26
38,"Martinez Duany, Lelys Stanley",CUB,26
39,"Praczukowski, Stanislaw",POL,26
40,"Radovanovic, Nikola",SRB,26
41,Shrutarshi Ray,IND,26
42,"Tiwari, Arjun",IND,26
43,Anshul Nigam,IND,25
44,Arjun Kalyan,IND,25
45,"Belmont Hernandez, Andres",MEX,25
46,"Benedetti, Julio",ARG,25
47,"Di Chiara, Mauro",ITA,25
48,"Fominyh, Alexander",RUS,25
49,"Lajthajm, Borko",SRB,25
50,"Losev, Dmitry",RUS,25
51,"Mendez Tovar, Jessica Yissel",MEX,25
52,"Mohannad, Farhan",JOR,25
53,Mukund Suresh,IND,25
54,"Priyankara, Chamil",SRI,25
55,"Ravi, Teja S.",IND,25
56,"Salem, A.R. Saleh",UAE,25
57,Shinjini Sengupta,IND,25
58,"Tin, Jingyao",SIN,25
59,"Toshali, V",IND,25
60,"Vakhidov, Jahongir",UZB,25
61,"Ahmadzada, Ahmad",AZE,24
62,"Cofre Archibold, Nestor",MEX,24
63,Desai Jay Viral,IND,24
64,"Liu, Xiangyi",SIN,24
65,"Meintanis, Sotirios",GRE,24
66,Saksham Rautela,IND,24
67,Sanjeet Manohar,IND,24
68,Sarvesh Aadityaa R,IND,24
69,Badavath Anand,IND,23
70,"Gamayev, Oleg",ISR,23
71,"Giron, Jorge Ernesto",ESA,23
72,"Gonzalez Zamora, Juan Carlos",MEX,23
73,"Guchshin, Vladimir",RUS,23
74,"Holy, Filip",CZE,23
75,"Liu, Yi",AUS,23
76,"Low, Zhen Yu Cyrus",SIN,23
77,"Pazos Gambarrotti, Plinio",ECU,23
78,"Rawal, Shailesh",IND,23
79,"Subervi, Jonathan",DOM,23
80,"Surya Dhanush, G",IND,23
81,"Fang, Yuxiang",CHN,22
82,"Florescu, Codrut-Constantin",ROU,22
83,"Fuentes Godoy, Lilia Ivonne",MEX,22
84,Krithigga K,IND,22
85,"Mendonca, Leon Luke",IND,22
86,"Meshkov, Yuri A.",RUS,22
87,"Rafee, Mohd Hayel",SYR,22
88,"Ruiz Bellon, Manuel",ESP,22
89,"Ruiz Sanchez, Orlen",CUB,22
90,"Sears, Frank",TTO,22
91,"Shalamberidze, Akaki",GEO,22
92,Wanjari Rajendra,IND,22
93,Agostinho Diogo,ANG,21
94,Ahmad M Saleh Alzarouni,UAE,21
95,"Baltzopoulos, Giorgos",GRE,21
96,"Buiza Prieto, Eihartze",ESP,21
97,"Celinski, Kamil",POL,21
98,"Chan, Kim Yew",MAS,21
99,"Chandreyee, Hajra",IND,21
100,"Daghli, Arash",IRI,21
