rank,name,fed,rating
1,"Kasparov, Garry",RUS,2825
2,"Kramnik, Vladimir",RUS,2790
3,"Fischer, Robert James",USA,2780
4,"Anand, Viswanathan",IND,2770
5,"Ivanchuk, Vassily",UKR,2740
6,"Topalov, Veselin",BUL,2740
7,"Karpov, Anatoly",RUS,2735
8,"Kamsky, Gata",USA,2720
9,"Shirov, Alexei",ESP,2710
10,"Beliavsky, Alexander G.",SLO,2690
11,"Svidler, Peter",RUS,2690
12,"Salov, Valery",RUS,2680
13,"Bareev, Evgeny",RUS,2675
14,"Gelfand, Boris",BLR,2675
15,"Polgar, Judit",HUN,2675
16,"Adams, Michael",ENG,2670
17,"Georgiev, Kiril",BUL,2670
18,"Leko, Peter",HUN,2670
19,"Rublevsky, Sergei",RUS,2665
20,"Akopian, Vladimir",ARM,2660
21,"Khalifman, Alexander",RUS,2660
22,"Krasenkow, Michal",POL,2660
23,"Short, Nigel D.",ENG,2660
24,"Yermolinsky, Alex",USA,2660
25,"Zvjaginsev, Vadim",RUS,2655
26,"Azmaiparashvili, Zurab",GEO,2650
27,"Sadler, Matthew",ENG,2650
28,"Chernin, Alexander",HUN,2645
29,"Lautier, Joel",FRA,2645
30,"Oll, Lembit",EST,2645
31,"Tkachiev, Vladislav",FRA,2645
32,"Tiviakov, Sergei",RUS,2640
33,"Andersson, Ulf",SWE,2635
34,"Gurevich, Mikhail",BEL,2635
35,"Milov, Vadim",SUI,2635
36,"Nikolic, Predrag",BIH,2635
37,"Timman, Jan H.",NED,2635
38,"Almasi, Zoltan",HUN,2630
39,"Dreev, Alexey",RUS,2630
40,"Granda Zuniga, Julio E.",PER,2630
41,"Hjartarson, Johann",ISL,2630
42,"Jussupow, Artur",GER,2630
43,"Vaganian, Rafael A.",ARM,2630
44,"Kortschnoj, Viktor",SUI,2625
45,"Nenashev, Alexander",UZB,2625
46,"Seirawan, Yasser",USA,2625
47,"Sokolov, Ivan",BIH,2625
48,"Kaidanov, Gregory S.",USA,2620
49,"Sakaev, Konstantin",RUS,2620
50,"Shipov, Sergei",RUS,2620
51,"Adianto, Utut",INA,2615
52,"Aleksandrov, Aleksej",BLR,2615
53,"Alterman, Boris",ISR,2615
54,"Shabalov, Alexander",USA,2615
55,"Spasov, Vasil",BUL,2615
56,"Van Wely, Loek",NED,2615
57,"Ehlvest, Jaan",EST,2610
58,"Hracek, Zbynek",CZE,2610
59,"Huzman, Alexander",ISR,2610
60,"Lputian, Smbat G.",ARM,2610
61,"Nisipeanu, Liviu-Dieter",ROM,2610
62,"Nunn, John D. M.",ENG,2610
63,"Onischuk, Alexander",UKR,2610
64,"Rozentalis, Eduardas",LTU,2610
65,"Tukmakov, Vladimir B.",UKR,2610
66,"Eingorn, Vereslav S.",UKR,2605
67,"Giorgadze, Giorgi",GEO,2605
68,"Hellers, Ferdinand",SWE,2605
69,"Speelman, Jonathan S.",ENG,2605
70,"Wahls, Matthias",GER,2605
71,"Baburin, Alexander",IRL,2600
72,"Dautov, Rustem",GER,2600
73,"Dorfman, Josif D.",FRA,2600
74,"Illescas Cordoba, Miguel",ESP,2600
75,"Malaniuk, Vladimir P.",UKR,2600
76,"Morovic Fernandez, Ivan",CHI,2600
77,"Portisch, Lajos",HUN,2600
78,"Sutovsky, Emil",ISR,2600
79,"Atalik, Suat",TUR,2595
80,"Benjamin, Joel",USA,2595
81,"Fedorov, Alexei",BLR,2595
82,"Filippov, Valerij",RUS,2595
83,"Hansen, Curt",DEN,2595
84,"Lutz, Christopher",GER,2595
85,"Miles, Anthony J.",ENG,2595
86,"Movsesian, Sergei",CZE,2595
87,"Savchenko, Stanislav",UKR,2595
88,"Sturua, Zurab",GEO,2595
89,"Sveshnikov, Evgeny",RUS,2595
90,"Vaiser, Anatoly V.",FRA,2595
91,"De Firmian, Nick E.",USA,2590
92,"Epishin, Vladimir",RUS,2590
93,"Goldin, Alexander",RUS,2590
94,"Ibragimov, Ildar",RUS,2590
95,"Morozevich, Alexander",RUS,2590
96,"Pinter, Jozsef",HUN,2590
97,"Smirin, Ilia",ISR,2590
98,"Annakov, Babakuli",TKM,2585
99,"Dvoirys, Semen I.",RUS,2585
100,"Gulko, Boris F.",USA,2585
