rank,name,fed,rating
1,"Topalov, Veselin",BUL,2813
2,"Kasparov, Garry",RUS,2812
3,"Fischer, Robert J",USA,2780
4,"Anand, Viswanathan",IND,2779
5,"Aronian, Levon",ARM,2761
6,"Kramnik, Vladimir",RUS,2743
7,"Svidler, Peter",RUS,2742
8,"Leko, Peter",HUN,2738
9,"Ivanchuk, Vassily",UKR,2734
10,"Adams, Michael",ENG,2732
11,"Morozevich, Alexander",RUS,2731
12,"Gelfand, Boris",ISR,2729
13,"Radjabov, Teimour",AZE,2728
14,"Mamedyarov, Shakhriyar",AZE,2722
15,"Ponomariov, Ruslan",UKR,2721
16,"Navara, David",CZE,2719
17,"Shirov, Alexei",ESP,2716
18,"Akopian, Vladimir",ARM,2713
19,"Polgar, Judit",HUN,2710
20,"Grischuk, Alexander",RUS,2709
21,"Bacrot, Etienne",FRA,2707
22,"Kamsky, Gata",USA,2697
23,"Nisipeanu, Liviu-Dieter",ROM,2696
24,"Malakhov, Vladimir",RUS,2690
25,"Georgiev, Kiril",BUL,2685
26,"Bareev, Evgeny",RUS,2683
27,"Harikrishna, P.",IND,2682
28,"Karjakin, Sergey",UKR,2679
29,"Najer, Evgeniy",RUS,2677
30,"Short, Nigel D.",ENG,2676
31,"Carlsen, Magnus",NOR,2675
32,"Lautier, Joel",FRA,2675
33,"Sasikiran, Krishnan",IND,2675
34,"Van Wely, Loek",NED,2675
35,"Zvjaginsev, Vadim",RUS,2675
36,"Vallejo Pons, Francisco",ESP,2674
37,"Almasi, Zoltan",HUN,2672
38,"Kasimdzhanov, Rustam",UZB,2672
39,"Azmaiparashvili, Zurab",GEO,2669
40,"Karpov, Anatoly",RUS,2668
41,"Onischuk, Alexander",USA,2668
42,"Tiviakov, Sergei",NED,2668
43,"Bruzon, Lazaro",CUB,2667
44,"Jakovenko, Dmitry",RUS,2667
45,"Rublevsky, Sergei",RUS,2667
46,"Sargissian, Gabriel",ARM,2667
47,"Dreev, Alexey",RUS,2666
48,"Bu, Xiangzhi",CHN,2664
49,"Naiditsch, Arkadij",GER,2664
50,"Motylev, Alexander",RUS,2662
51,"Volokitin, Andrei",UKR,2662
52,"Izoria, Zviad",GEO,2660
53,"Smirin, Ilia",ISR,2659
54,"Dominguez, Lenier",CUB,2658
55,"Timofeev, Artyom",RUS,2657
56,"Sokolov, Ivan",NED,2652
57,"Eljanov, Pavel",UKR,2651
58,"Jobava, Baadur",GEO,2651
59,"Moiseenko, Alexander",UKR,2649
60,"Kobalia, Mikhail",RUS,2647
61,"Bologan, Viktor",MDA,2645
62,"Tkachiev, Vladislav",FRA,2645
63,"Alekseev, Evgeny",RUS,2644
64,"Gashimov, Vugar",AZE,2644
65,"Salov, Valery",RUS,2644
66,"Gurevich, Mikhail",TUR,2643
67,"Sakaev, Konstantin",RUS,2642
68,"Areshchenko, Alexander",UKR,2641
69,"Avrukh, Boris",ISR,2641
70,"Ye, Jiangchuan",CHN,2641
71,"Nielsen, Peter Heine",DEN,2640
72,"Zhang, Zhong",CHN,2639
73,"Korneev, Oleg",RUS,2638
74,"Miton, Kamil",POL,2638
75,"Seirawan, Yasser",USA,2638
76,"Delchev, Aleksander",BUL,2637
77,"Movsesian, Sergei",SVK,2637
78,"Asrian, Karen",ARM,2635
79,"Krasenkow, Michal",POL,2635
80,"Granda Zuniga, Julio E",PER,2634
81,"Lputian, Smbat G",ARM,2634
82,"Cheparinov, Ivan",BUL,2632
83,"Efimenko, Zahar",UKR,2632
84,"Nakamura, Hikaru",USA,2632
85,"Volkov, Sergey",RUS,2628
86,"Aleksandrov, Aleksej",BLR,2627
87,"Fressinet, Laurent",FRA,2626
88,"Nikolic, Predrag",BIH,2626
89,"Wang, Yue",CHN,2626
90,"Beliavsky, Alexander G",SLO,2625
91,"Damljanovic, Branko",SCG,2625
92,"Hansen, Curt",DEN,2625
93,"Inarkiev, Ernesto",RUS,2625
94,"Ibragimov, Ildar",USA,2624
95,"Piket, Jeroen",NED,2624
96,"Khalifman, Alexander",RUS,2622
97,"Riazantsev, Alexander",RUS,2622
98,"Wojtaszek, Radoslaw",POL,2622
99,"Zhang, Pengxiang",CHN,2622
100,"Baklan, Vladimir",UKR,2621
