rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2826
2,"Kasparov, Garry",RUS,2812
3,"Topalov, Veselin",BUL,2803
4,"Anand, Viswanathan",IND,2800
5,"Kramnik, Vladimir",RUS,2790
6,"Aronian, Levon",ARM,2783
7,"Mamedyarov, Shakhriyar",AZE,2761
8,"Grischuk, Alexander",RUS,2760
9,"Eljanov, Pavel",UKR,2755
10,"Shirov, Alexei",ESP,2749
11,"Radjabov, Teimour",AZE,2748
12,"Karjakin, Sergey",RUS,2747
13,"Gelfand, Boris",ISR,2739
14,"Ivanchuk, Vassily",UKR,2739
15,"Leko, Peter",HUN,2734
16,"Ponomariov, Ruslan",UKR,2734
17,"Svidler, Peter",RUS,2734
18,"Malakhov, Vladimir",RUS,2732
19,"Navara, David",CZE,2731
20,"Nakamura, Hikaru",USA,2729
21,"Jakovenko, Dmitry",RUS,2726
22,"Wang, Hao",CHN,2724
23,"Movsesian, Sergei",SVK,2723
24,"Vachier-Lagrave, Maxime",FRA,2723
25,"Vitiugov, Nikita",RUS,2722
26,"Bacrot, Etienne",FRA,2720
27,"Gashimov, Vugar",AZE,2719
28,"Almasi, Zoltan",HUN,2717
29,"Dominguez Perez, Leinier",CUB,2716
30,"Wang, Yue",CHN,2716
31,"Morozevich, Alexander",RUS,2715
32,"Kamsky, Gata",USA,2713
33,"Jobava, Baadur",GEO,2710
34,"Tomashevsky, Evgeny",RUS,2708
35,"Adams, Michael",ENG,2706
36,"Nepomniachtchi, Ian",RUS,2706
37,"Onischuk, Alexander",USA,2701
38,"Nielsen, Peter Heine",DEN,2700
39,"Kasimdzhanov, Rustam",UZB,2699
40,"Caruana, Fabiano",ITA,2697
41,"Fressinet, Laurent",FRA,2697
42,"Vallejo Pons, Francisco",ESP,2697
43,"Bologan, Viktor",MDA,2695
44,"Akopian, Vladimir",ARM,2691
45,"Alekseev, Evgeny",RUS,2691
46,"Short, Nigel D",ENG,2690
47,"Timofeev, Artyom",RUS,2690
48,"Efimenko, Zahar",UKR,2689
49,"Rublevsky, Sergei",RUS,2688
50,"Miroshnichenko, Evgenij",UKR,2686
51,"Motylev, Alexander",RUS,2685
52,"Naiditsch, Arkadij",GER,2684
53,"Nisipeanu, Liviu-Dieter",ROU,2683
54,"Polgar, Judit",HUN,2682
55,"Riazantsev, Alexander",RUS,2682
56,"Le, Quang Liem",VIE,2681
57,"Sasikiran, Krishnan",IND,2679
58,"Van Wely, Loek",NED,2677
59,"Bu, Xiangzhi",CHN,2676
60,"Georgiev, Kiril",BUL,2675
61,"So, Wesley",PHI,2674
62,"Sargissian, Gabriel",ARM,2673
63,"Giri, Anish",NED,2672
64,"Najer, Evgeniy",RUS,2672
65,"Inarkiev, Ernesto",RUS,2671
66,"Berkes, Ferenc",HUN,2670
67,"Smeets, Jan",NED,2669
68,"Grachev, Boris",RUS,2668
69,"Zhou, Jianchao",CHN,2668
70,"Khismatullin, Denis",RUS,2667
71,"Moiseenko, Alexander",UKR,2667
72,"Fedorchuk, Sergey A.",UKR,2665
73,"Sutovsky, Emil",ISR,2665
74,"Areshchenko, Alexander",UKR,2664
75,"Bareev, Evgeny",RUS,2663
76,"Wojtaszek, Radoslaw",POL,2663
77,"Kurnosov, Igor",RUS,2662
78,"Cheparinov, Ivan",BUL,2661
79,"Volokitin, Andrei",UKR,2661
80,"Dreev, Alexey",RUS,2660
81,"Mamedov, Rauf",AZE,2660
82,"Lautier, Joel",FRA,2658
83,"Korobov, Anton",UKR,2657
84,"Zhigalko, Sergei",BLR,2656
85,"Zvjaginsev, Vadim",RUS,2656
86,"Ganguly, Surya Shekhar",IND,2655
87,"Bruzon Batista, Lazaro",CUB,2653
88,"Andreikin, Dmitry",RUS,2650
89,"Gharamian, Tigran",FRA,2650
90,"Kobalia, Mikhail",RUS,2648
91,"Meier, Georg",GER,2648
92,"Afromeev, Vladimir",RUS,2646
93,"Harikrishna, P.",IND,2646
94,"Smirin, Ilia",ISR,2646
95,"Socko, Bartosz",POL,2646
96,"Fridman, Daniel",GER,2645
97,"Ni, Hua",CHN,2645
98,"Roiz, Michael",ISR,2645
99,"Milov, Vadim",SUI,2644
100,"Salov, Valery",RUS,2644
