rank,name,fed,rating
1,"Sienczewski, Zbigniew",POL,47
2,"Enkhbat, Tsendragchaa",MGL,41
3,"Levkin, Khasen",RUS,35
4,"Baterdene, Tsogbayar",MGL,33
5,"Iljin, Timofey",UKR,33
6,"Tate, Emory",USA,33
7,"Egorov, Pavel",RUS,31
8,"Sokalski, Daniel",POL,31
9,"Patrinos, Ilias",GRE,30
10,"Vazelakis, Dimitrios",GRE,30
11,"Kokarev, Dmitry",RUS,29
12,"Quesada Perez, Yuniesky",CUB,29
13,"Rodriguez Vila, Andres",URU,29
14,"Sivuk, Vitaly",UKR,29
15,"Tagirov, Kajum K",RUS,29
16,"Ulziikhishigjargal, Ochirkhuyag",MGL,29
17,"Aleksandrov, Aleksej",BLR,28
18,Alhad J Kashikar,IND,28
19,"Bunyatov, Rustam",AZE,28
20,"Celinski, Kamil",POL,28
21,"Dzhumaev, Almir",RUS,28
22,"Koper, Stefan",CZE,28
23,"Kostouros, Alexandros",GRE,28
24,"Pantsulaia, Levan",GEO,28
25,"Solodovnichenko, Yuri",UKR,28
26,"Amina, Battsooj",MGL,27
27,Garima Gaurav,IND,27
28,"Ivanov, Mikhail M",RUS,27
29,"Kozul, Zdenko",CRO,27
30,"Lyell, Mark",ENG,27
31,"Marek, Matyas",CZE,27
32,"Molina, Roberto Junio Brito",BRA,27
33,"Rozentalis, Eduardas",LTU,27
34,"Sangma, Rahul",IND,27
35,Vishnu Prasanna. V,IND,27
36,Vora Ananya,IND,27
37,Adhithya S,IND,26
38,"Aydincelebi, Kagan",TUR,26
39,"Galkin, Vladimir",RUS,26
40,"Kaasen, Tor Fredrik",NOR,26
41,Sai Shravan R,IND,26
42,"Urmantseva, Azalya",RUS,26
43,"Werren, Hugo",SUI,26
44,"Dimitrov, Radoslav",BUL,25
45,"Galunova, Tsveta",BUL,25
46,"Himanshu, Sharma",IND,25
47,"Kunin, Vitaly",GER,25
48,"Kurashov, Andrey",RUS,25
49,"Marjukov, Aleksey",RUS,25
50,"Petkov, Vladimir",BUL,25
51,"Petras, Milan",CZE,25
52,"Plischki, Sebastian",GER,25
53,"Pokorny, Jan",CZE,25
54,"Popchev, Milko",BUL,25
55,Priyanka Bhatt,IND,25
56,"Stopa, Jacek",POL,25
57,"Yakimenko, Andrey",RUS,25
58,"Yordanov, Lachezar",BUL,25
59,"Antova, Gabriela",BUL,24
60,"Belin, Artem",RUS,24
61,"Boldoo, Erdenepurev",MGL,24
62,"Borodachev, Oleg",USA,24
63,"Carstensen, Jacob",DEN,24
64,"Cubas, Jose Fernando",PAR,24
65,"Danov, Lyubomir",BUL,24
66,"Efroimski, Marsel",ISR,24
67,"Enkhnar, Enkhbaatar",MGL,24
68,"Losev, Dmitry",RUS,24
69,"Marholev, Dimitar",BUL,24
70,"Ninov, Dayan",BUL,24
71,"Rusev, Krasimir",BUL,24
72,"Sevillano, Rhenzi Kyle",PHI,24
73,"Tsoi, Vladislav",RUS,24
74,"Zakharov, Denis",RUS,24
75,"Anairousis, Panag",GRE,23
76,"Berzinsh, Roland",LAT,23
77,"Can, Isil",TUR,23
78,"Georgiev, Todor",BUL,23
79,"Kopiecki, Edward",USA,23
80,"Kovchan, Alexander",UKR,23
81,"Larina, Marija",RUS,23
82,"Leszko, Bence",HUN,23
83,"Naumkin, Igor",RUS,23
84,"Nuritdinova, Ilzira",RUS,23
85,"Pajak, Jakub",POL,23
86,"Pokhlebin, Sergej",RUS,23
87,"Sacharewicz, Krzysztof",POL,23
88,"Schmit, Vincent",FRA,23
89,"Shamigulov, Arslan",RUS,23
90,Shetye Abhay,IND,23
91,"Shirgalin, Osman",RUS,23
92,"Shostka, Pavel",UKR,23
93,"Skrbec, Leon",SLO,23
94,"Sumets, Andrey",UKR,23
95,"Tandrup, Michael",DEN,23
96,"Voronkov, Denis",RUS,23
97,"Atea, Khaled",EGY,22
98,Audi Saiesh,IND,22
99,"Baasansuren, Erdene",MGL,22
100,"Calvo de Castro, Miguel",ESP,22
