rank,name,fed,rating
1,"Kasparov, Garry",RUS,2812
2,"Topalov, Veselin",BUL,2812
3,"Anand, Viswanathan",IND,2783
4,"Carlsen, Magnus",NOR,2770
5,"Kramnik, Vladimir",RUS,2759
6,"Radjabov, Teimour",AZE,2756
7,"Aronian, Levon",ARM,2754
8,"Jakovenko, Dmitry",RUS,2753
9,"Leko, Peter",HUN,2751
10,"Morozevich, Alexander",RUS,2751
11,"Grischuk, Alexander",RUS,2748
12,"Movsesian, Sergei",SVK,2747
13,"Ivanchuk, Vassily",UKR,2746
14,"Shirov, Alexei",ESP,2745
15,"Wang, Yue",CHN,2738
16,"Gelfand, Boris",ISR,2733
17,"Gashimov, Vugar",AZE,2730
18,"Bacrot, Etienne",FRA,2728
19,"Ponomariov, Ruslan",UKR,2726
20,"Svidler, Peter",RUS,2726
21,"Mamedyarov, Shakhriyar",AZE,2725
22,"Ni, Hua",CHN,2724
23,"Dominguez Perez, Leinier",CUB,2721
24,"Karjakin, Sergey",UKR,2721
25,"Kamsky, Gata",USA,2720
26,"Alekseev, Evgeny",RUS,2716
27,"Malakhov, Vladimir",RUS,2709
28,"Bu, Xiangzhi",CHN,2704
29,"Adams, Michael",ENG,2703
30,"Rublevsky, Sergei",RUS,2702
31,"Nakamura, Hikaru",USA,2701
32,"Naiditsch, Arkadij",GER,2700
33,"Tiviakov, Sergei",NED,2697
34,"Akopian, Vladimir",ARM,2696
35,"Wang, Hao",CHN,2696
36,"Kasimdzhanov, Rustam",UZB,2695
37,"Eljanov, Pavel",UKR,2693
38,"Polgar, Judit",HUN,2693
39,"Bologan, Viktor",MDA,2690
40,"Moiseenko, Alexander",UKR,2690
41,"Vallejo Pons, Francisco",ESP,2688
42,"Vitiugov, Nikita",RUS,2688
43,"Jobava, Baadur",GEO,2687
44,"Harikrishna, P.",IND,2686
45,"Almasi, Zoltan",HUN,2685
46,"Onischuk, Alexander",USA,2684
47,"Tomashevsky, Evgeny",RUS,2684
48,"Vachier-Lagrave, Maxime",FRA,2684
49,"Efimenko, Zahar",UKR,2682
50,"Sasikiran, Krishnan",IND,2682
51,"Miroshnichenko, Evgenij",UKR,2680
52,"Cheparinov, Ivan",BUL,2678
53,"Motylev, Alexander",RUS,2677
54,"Timofeev, Artyom",RUS,2677
55,"Inarkiev, Ernesto",RUS,2676
56,"Nisipeanu, Liviu-Dieter",ROU,2675
57,"Short, Nigel D",ENG,2674
58,"Volokitin, Andrei",UKR,2671
59,"Najer, Evgeniy",RUS,2669
60,"Sokolov, Ivan",BIH,2669
61,"Dreev, Alexey",RUS,2668
62,"Nielsen, Peter Heine",DEN,2668
63,"Fressinet, Laurent",FRA,2664
64,"Sargissian, Gabriel",ARM,2660
65,"Sutovsky, Emil",ISR,2660
66,"Guseinov, Gadir",AZE,2659
67,"Milov, Vadim",SUI,2659
68,"Kurnosov, Igor",RUS,2658
69,"Lautier, Joel",FRA,2658
70,"Areshchenko, Alexander",UKR,2657
71,"Tkachiev, Vladislav",FRA,2657
72,"Fedorchuk, Sergey A.",UKR,2656
73,"Nyback, Tomi",FIN,2655
74,"Pashikian, Arman",ARM,2655
75,"Savchenko, Boris",RUS,2655
76,"Navara, David",CZE,2654
77,"Grachev, Boris",RUS,2652
78,"Predojevic, Borki",BIH,2652
79,"Lastin, Alexander",RUS,2650
80,"Caruana, Fabiano",ITA,2649
81,"Amonatov, Farrukh",TJK,2648
82,"Delchev, Aleksander",BUL,2648
83,"Postny, Evgeny",ISR,2648
84,"Avrukh, Boris",ISR,2647
85,"Afromeev, Vladimir",RUS,2646
86,"Fridman, Daniel",GER,2646
87,"Kobalia, Mikhail",RUS,2645
88,"Mamedov, Rauf",AZE,2645
89,"Karpov, Anatoly",RUS,2644
90,"Salov, Valery",RUS,2644
91,"Li, Chao b",CHN,2643
92,"Meier, Georg",GER,2641
93,"Smirin, Ilia",ISR,2641
94,"So, Wesley",PHI,2641
95,"Beliavsky, Alexander G",SLO,2640
96,"Berkes, Ferenc",HUN,2638
97,"Zhang, Pengxiang",CHN,2638
98,"Georgiev, Kiril",BUL,2637
99,"Socko, Bartosz",POL,2637
100,"Bareev, Evgeny",RUS,2636
