rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2835
2,"Caruana, Fabiano",USA,2832
3,"Mamedyarov, Shakhriyar",AZE,2817
4,"Ding, Liren",CHN,2813
5,"Kasparov, Garry",RUS,2812
6,"Giri, Anish",NED,2783
7,"Vachier-Lagrave, Maxime",FRA,2781
8,"Kramnik, Vladimir",RUS,2777
9,"Anand, Viswanathan",IND,2773
10,"Grischuk, Alexander",RUS,2771
11,"Aronian, Levon",ARM,2765
12,"So, Wesley",USA,2765
13,"Yu, Yangyi",CHN,2764
14,"Nepomniachtchi, Ian",RUS,2763
15,"Radjabov, Teimour",AZE,2757
16,"Karjakin, Sergey",RUS,2753
17,"Nakamura, Hikaru",USA,2746
18,"Topalov, Veselin",BUL,2740
19,"Dominguez Perez, Leinier",USA,2739
20,"Duda, Jan-Krzysztof",POL,2738
21,"Svidler, Peter",RUS,2737
22,"Naiditsch, Arkadij",AZE,2736
23,"Navara, David",CZE,2736
24,"Jakovenko, Dmitry",RUS,2735
25,"Rapport, Richard",HUN,2732
26,"Wojtaszek, Radoslaw",POL,2732
27,"Wang, Hao",CHN,2730
28,"Wei, Yi",CHN,2728
29,"Bu, Xiangzhi",CHN,2726
30,"Harikrishna, Pentala",IND,2725
31,"Shankland, Samuel",USA,2724
32,"Andreikin, Dmitry",RUS,2719
33,"Fedoseev, Vladimir",RUS,2719
34,"Vitiugov, Nikita",RUS,2719
35,"Ivanchuk, Vassily",UKR,2717
36,"Le, Quang Liem",VIE,2714
37,"Amin, Bassem",EGY,2710
38,"Artemiev, Vladislav",RUS,2709
39,"Cheparinov, Ivan",GEO,2709
40,"Tomashevsky, Evgeny",RUS,2705
41,"Adams, Michael",ENG,2703
42,"Dubov, Daniil",RUS,2703
43,"Li, Chao b",CHN,2703
44,"Mamedov, Rauf",AZE,2703
45,"Vidit, Santosh Gujrathi",IND,2701
46,"Matlakov, Maxim",RUS,2700
47,"Korobov, Anton",UKR,2698
48,"Howell, David W L",ENG,2696
49,"Adhiban, B.",IND,2695
50,"Saric, Ivan",CRO,2695
51,"Vallejo Pons, Francisco",ESP,2695
52,"Inarkiev, Ernesto",RUS,2693
53,"Sadler, Matthew D",ENG,2693
54,"Almasi, Zoltan",HUN,2689
55,"Cori, Jorge",PER,2689
56,"Sargissian, Gabriel",ARM,2689
57,"Maghsoodloo, Parham",IRI,2688
58,"Kryvoruchko, Yuriy",UKR,2687
59,"Ragger, Markus",AUT,2687
60,"Bacrot, Etienne",FRA,2686
61,"Kovalev, Vladislav",BLR,2683
62,"Ni, Hua",CHN,2683
63,"Wang, Yue",CHN,2683
64,"Jones, Gawain C B",ENG,2682
65,"Nisipeanu, Liviu-Dieter",GER,2682
66,"Eljanov, Pavel",UKR,2680
67,"Demchenko, Anton",RUS,2679
68,"Grandelius, Nils",SWE,2678
69,"Xiong, Jeffery",USA,2676
70,"Laznicka, Viktor",CZE,2675
71,"Polgar, Judit",HUN,2675
72,"Rodshtein, Maxim",ISR,2675
73,"Gyimesi, Zoltan",HUN,2674
74,"Gelfand, Boris",ISR,2673
75,"Sasikiran, Krishnan",IND,2673
76,"Safarli, Eltaj",AZE,2671
77,"Dreev, Aleksey",RUS,2670
78,"Melkumyan, Hrant",ARM,2670
79,"Nabaty, Tamir",ISR,2670
80,"Najer, Evgeniy",RUS,2670
81,"Leko, Peter",HUN,2669
82,"Robson, Ray",USA,2667
83,"Kamsky, Gata",USA,2666
84,"Bruzon Batista, Lazaro",CUB,2664
85,"Guseinov, Gadir",AZE,2664
86,"McShane, Luke J",ENG,2664
87,"Sethuraman, S.P.",IND,2664
88,"Ponomariov, Ruslan",UKR,2663
89,"Sjugirov, Sanan",RUS,2663
90,"Berkes, Ferenc",HUN,2662
91,"Hou, Yifan",CHN,2662
92,"Salem, A.R. Saleh",UAE,2660
93,"Tkachiev, Vladislav",FRA,2660
94,"Kasimdzhanov, Rustam",UZB,2659
95,"Lenic, Luka",SLO,2659
96,"Lautier, Joel",FRA,2658
97,"Malakhov, Vladimir",RUS,2658
98,"Van Kampen, Robin",NED,2658
99,"Kovalenko, Igor",LAT,2657
100,"Areshchenko, Alexander",UKR,2656
