rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2838
2,"Caruana, Fabiano",USA,2827
3,"So, Wesley",USA,2822
4,"Kasparov, Garry",RUS,2812
5,"Kramnik, Vladimir",RUS,2811
6,"Vachier-Lagrave, Maxime",FRA,2796
7,"Anand, Viswanathan",IND,2786
8,"Aronian, Levon",ARM,2785
9,"Nakamura, Hikaru",USA,2785
10,"Karjakin, Sergey",RUS,2783
11,"Giri, Anish",NED,2769
12,"Mamedyarov, Shakhriyar",AZE,2766
13,"Ding, Liren",CHN,2760
14,"Eljanov, Pavel",UKR,2759
15,"Harikrishna, P.",IND,2758
16,"Adams, Michael",ENG,2751
17,"Ivanchuk, Vassily",UKR,2751
18,"Nepomniachtchi, Ian",RUS,2749
19,"Svidler, Peter",RUS,2748
20,"Wojtaszek, Radoslaw",POL,2745
21,"Grischuk, Alexander",RUS,2742
22,"Dominguez Perez, Leinier",CUB,2739
23,"Topalov, Veselin",BUL,2739
24,"Yu, Yangyi",CHN,2738
25,"Andreikin, Dmitry",RUS,2734
26,"Navara, David",CZE,2730
27,"Wei, Yi",CHN,2725
28,"Vitiugov, Nikita",RUS,2724
29,"Inarkiev, Ernesto",RUS,2723
30,"Gelfand, Boris",ISR,2721
31,"Li, Chao b",CHN,2720
32,"Malakhov, Vladimir",RUS,2715
33,"Le, Quang Liem",VIE,2712
34,"Bu, Xiangzhi",CHN,2711
35,"Tomashevsky, Evgeny",RUS,2711
36,"Radjabov, Teimour",AZE,2710
37,"Jakovenko, Dmitry",RUS,2709
38,"Ponomariov, Ruslan",UKR,2709
39,"Vallejo Pons, Francisco",ESP,2709
40,"Wang, Yue",CHN,2706
41,"Kryvoruchko, Yuriy",UKR,2705
42,"Ragger, Markus",AUT,2703
43,"Naiditsch, Arkadij",AZE,2702
44,"Jobava, Baadur",GEO,2701
45,"Matlakov, Maxim",RUS,2701
46,"Kasimdzhanov, Rustam",UZB,2699
47,"Rodshtein, Maxim",ISR,2699
48,"Almasi, Zoltan",HUN,2697
49,"Bacrot, Etienne",FRA,2695
50,"Leko, Peter",HUN,2693
51,"Rapport, Richard",HUN,2692
52,"Korobov, Anton",UKR,2691
53,"Cheparinov, Ivan",BUL,2689
54,"Mamedov, Rauf",AZE,2688
55,"Duda, Jan-Krzysztof",POL,2684
56,"Kovalenko, Igor",LAT,2684
57,"Areshchenko, Alexander",UKR,2683
58,"Adhiban, B.",IND,2682
59,"Wang, Hao",CHN,2682
60,"Rublevsky, Sergei",RUS,2681
61,"Nisipeanu, Liviu-Dieter",GER,2680
62,"Safarli, Eltaj",AZE,2680
63,"Movsesian, Sergei",ARM,2679
64,"Zvjaginsev, Vadim",RUS,2679
65,"Shirov, Alexei",LAT,2678
66,"Jones, Gawain C B",ENG,2677
67,"Van Wely, Loek",NED,2676
68,"Akopian, Vladimir",ARM,2675
69,"Morozevich, Alexander",RUS,2675
70,"Polgar, Judit",HUN,2675
71,"Short, Nigel D",ENG,2675
72,"Gyimesi, Zoltan",HUN,2674
73,"Ni, Hua",CHN,2674
74,"Sasikiran, Krishnan",IND,2674
75,"Shankland, Samuel L",USA,2674
76,"Xiong, Jeffery",USA,2674
77,"Sjugirov, Sanan",RUS,2673
78,"Vidit, Santosh Gujrathi",IND,2673
79,"Riazantsev, Alexander",RUS,2671
80,"Sadler, Matthew D",ENG,2671
81,"Negi, Parimarjan",IND,2670
82,"Rakhmanov, Aleksandr",RUS,2670
83,"Smirin, Ilia",ISR,2670
84,"Kamsky, Gata",USA,2669
85,"Robson, Ray",USA,2668
86,"Markus, Robert",SRB,2667
87,"Onischuk, Alexander",USA,2667
88,"Bareev, Evgeny",CAN,2666
89,"Laznicka, Viktor",CZE,2666
90,"Sargissian, Gabriel",ARM,2666
91,"Motylev, Alexander",RUS,2663
92,"Amin, Bassem",EGY,2662
93,"Dubov, Daniil",RUS,2661
94,"Moiseenko, Alexander",UKR,2661
95,"Fressinet, Laurent",FRA,2660
96,"Ipatov, Alexander",TUR,2660
97,"Tkachiev, Vladislav",FRA,2660
98,"Najer, Evgeniy",RUS,2659
99,"Fedoseev, Vladimir",RUS,2658
100,"Lautier, Joel",FRA,2658
