rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2835
2,"Caruana, Fabiano",USA,2832
3,"Mamedyarov, Shakhriyar",AZE,2817
4,"Ding, Liren",CHN,2816
5,"Kasparov, Garry",RUS,2812
6,"Giri, Anish",NED,2780
7,"Vachier-Lagrave, Maxime",FRA,2778
8,"Kramnik, Vladimir",RUS,2777
9,"Anand, Viswanathan",IND,2773
10,"Grischuk, Alexander",RUS,2771
11,"Aronian, Levon",ARM,2765
12,"So, Wesley",USA,2765
13,"Yu, Yangyi",CHN,2764
14,"Nepomniachtchi, Ian",RUS,2763
15,"Radjabov, Teimour",AZE,2757
16,"Karjakin, Sergey",RUS,2753
17,"Wojtaszek, Radoslaw",POL,2749
18,"Nakamura, Hikaru",USA,2746
19,"Topalov, Veselin",BUL,2740
20,"Dominguez Perez, Leinier",CUB,2739
21,"Duda, Jan-Krzysztof",POL,2738
22,"Naiditsch, Arkadij",AZE,2736
23,"Svidler, Peter",RUS,2736
24,"Jakovenko, Dmitry",RUS,2735
25,"Navara, David",CZE,2733
26,"Wang, Hao",CHN,2730
27,"Harikrishna, Pentala",IND,2729
28,"Wei, Yi",CHN,2728
29,"Bu, Xiangzhi",CHN,2726
30,"Rapport, Richard",HUN,2726
31,"Shankland, Samuel",USA,2724
32,"Andreikin, Dmitry",RUS,2719
33,"Fedoseev, Vladimir",RUS,2714
34,"Ivanchuk, Vassily",UKR,2714
35,"Le, Quang Liem",VIE,2714
36,"Cheparinov, Ivan",GEO,2711
37,"Amin, Bassem",EGY,2709
38,"Artemiev, Vladislav",RUS,2709
39,"Vitiugov, Nikita",RUS,2709
40,"Adams, Michael",ENG,2706
41,"Tomashevsky, Evgeny",RUS,2705
42,"Dubov, Daniil",RUS,2703
43,"Korobov, Anton",UKR,2703
44,"Li, Chao b",CHN,2703
45,"Mamedov, Rauf",AZE,2703
46,"Vidit, Santosh Gujrathi",IND,2702
47,"Ragger, Markus",AUT,2701
48,"Matlakov, Maxim",RUS,2700
49,"Kryvoruchko, Yuriy",UKR,2698
50,"Howell, David W L",ENG,2697
51,"Vallejo Pons, Francisco",ESP,2694
52,"Inarkiev, Ernesto",RUS,2693
53,"Sadler, Matthew D",ENG,2693
54,"Saric, Ivan",CRO,2692
55,"Cori, Jorge",PER,2689
56,"Maghsoodloo, Parham",IRI,2689
57,"Sargissian, Gabriel",ARM,2689
58,"Jones, Gawain C B",ENG,2683
59,"Kovalev, Vladislav",BLR,2683
60,"Ni, Hua",CHN,2683
61,"Wang, Yue",CHN,2683
62,"Adhiban, B.",IND,2682
63,"Almasi, Zoltan",HUN,2682
64,"Rodshtein, Maxim",ISR,2682
65,"Demchenko, Anton",RUS,2679
66,"Leko, Peter",HUN,2679
67,"Grandelius, Nils",SWE,2678
68,"Bacrot, Etienne",FRA,2677
69,"Eljanov, Pavel",UKR,2676
70,"Robson, Ray",USA,2676
71,"Polgar, Judit",HUN,2675
72,"Xiong, Jeffery",USA,2675
73,"Gyimesi, Zoltan",HUN,2674
74,"Nisipeanu, Liviu-Dieter",GER,2674
75,"Gelfand, Boris",ISR,2673
76,"Safarli, Eltaj",AZE,2671
77,"Sasikiran, Krishnan",IND,2671
78,"Dreev, Aleksey",RUS,2670
79,"Nabaty, Tamir",ISR,2670
80,"Laznicka, Viktor",CZE,2668
81,"Melkumyan, Hrant",ARM,2668
82,"Bruzon Batista, Lazaro",CUB,2667
83,"McShane, Luke J",ENG,2667
84,"Kamsky, Gata",USA,2666
85,"Guseinov, Gadir",AZE,2664
86,"Sethuraman, S.P.",IND,2664
87,"Najer, Evgeniy",RUS,2663
88,"Ponomariov, Ruslan",UKR,2663
89,"Berkes, Ferenc",HUN,2661
90,"Motylev, Alexander",RUS,2661
91,"Kuzubov, Yuriy",UKR,2660
92,"Salem, A.R. Saleh",UAE,2660
93,"Tkachiev, Vladislav",FRA,2660
94,"Hammer, Jon Ludvig",NOR,2659
95,"Kasimdzhanov, Rustam",UZB,2659
96,"Hou, Yifan",CHN,2658
97,"Lautier, Joel",FRA,2658
98,"Van Kampen, Robin",NED,2658
99,"Lenic, Luka",SLO,2657
100,"Mareco, Sandro",ARG,2656
