rank,name,fed,rating
1,Khan Faiziya,IND,50
2,Sona S,IND,41
3,"Largo Barbero, Benito",POR,37
4,"Petkov, Vladimir",BUL,37
5,Prachi Bharti,IND,36
6,Sangavi S,IND,36
7,"Barbosa, Oliver",PHI,35
8,"Paragua, Mark",PHI,34
9,"Camarero Izquierdo, Juan C.",ESP,33
10,"Gonzalez Mateos, Rafael",ESP,33
11,Nitin S N,IND,33
12,"Salgado Duarte, Pablo",ESP,33
13,"Hernandez Carmenate, Holden",CUB,32
14,"Lopez Heras, Arturo",ESP,32
15,"Naumkin, Igor",RUS,31
16,"Strebkovs, Andrejs",LAT,31
17,Manish Anto Cristiano F,IND,30
18,"Martin Garcia, Francisco Javier",ESP,30
19,"Barrientos, Sergio E",COL,29
20,"Kathmale, Sameer",IND,29
21,Krishna R Ve,IND,29
22,Vantika Agrawal,IND,29
23,"Dimakiling, Oliver",PHI,28
24,Mahitosh Dey,IND,28
25,Manjula R,IND,28
26,"Savant, Riya",IND,28
27,"Zhynguel Ramirez de Verger, Alek",ESP,28
28,"Baradat, Mats",FRA,27
29,"Berdote Alonso, Carlos",ESP,27
30,"Grigoryan, Artur",RUS,27
31,"Marcos Herrero, Francisco",ESP,27
32,"Moreno Ruiz, Javier",ESP,27
33,Sankar Bhattacharya,IND,27
34,"White, Dylan",FRA,27
35,"Adamowicz, Maciej",POL,26
36,"Arribas Lopez, Angel",ESP,26
37,"Daurelle, Herve",FRA,26
38,"Ginesta Caballero, Olga Lucia",CUB,26
39,"Lebiedowicz, Borys",POL,26
40,Madhav Sharma,IND,26
41,Mohnish S,IND,26
42,"Noval Toldos, Francisco Javier",ESP,26
43,"Sadorra, Julio Catalino",PHI,26
44,"Sipila, Vilka",FIN,26
45,Swarnamala B,IND,26
46,Vilok V Gadwal,IND,26
47,"Zimmermann, Ulrich",GER,26
48,"Aizpurua Zufiria, Inaki",ESP,25
49,"Alonso Aranzabal, Inigo",ESP,25
50,"El-Gehani, Ghassan",LBA,25
51,"Laketic, Gojko",SRB,25
52,"Lazic, Miroljub",SRB,25
53,"Punyatoa, Saha Fouzdar",IND,25
54,"Acuna Celada, Ivan",ESP,24
55,"Almagro Llamas, Pablo",ESP,24
56,"Cheparinov, Ivan",BUL,24
57,"Frayna, Janelle Mae",PHI,24
58,"Laylo, Darwin",PHI,24
59,"Levesque, Thomas",FRA,24
60,"Lopez Ziegler, Carlos",ESP,24
61,Manoj Kumar K S,IND,24
62,"Marholev, Dimitar",BUL,24
63,"Martin Rueda, Daniel",ESP,24
64,Nandakishore K C,IND,24
65,"Perena, Catherine",PHI,24
66,"Rodriguez Dorado, Victor",ESP,24
67,"Stellaki, Alexandra",GRE,24
68,"Almahjoub, Mokhtar",LBA,23
69,"Avendano Mateos, Jose",ESP,23
70,"Cano Cabanillas, Javier",ESP,23
71,"Docena, Jedara",PHI,23
72,"Galan Aguado, Fernando",ESP,23
73,"Garcia Hernandez, Javier",ESP,23
74,"Garcia Ramos, Marcos",ESP,23
75,"Iskhakov, Artur",RUS,23
76,"Kunin, Vitaly",GER,23
77,"Nunes, Luiz Antonio Santos",BRA,23
78,"Pena Riasco, Alexander",COL,23
79,"Ravneet, Kaur",IND,23
80,"Roa Alonso, Santiago",ESP,23
81,"Sanchez, Joseph",PHI,23
82,"Tirado Parra, Alberto",ESP,23
83,"Vega Gomez, Francisco B.",ESP,23
84,"Acosta Sosa, Juan Manuel",ESP,22
85,Bala kannamma.P,IND,22
86,"Bharathi, R.",IND,22
87,"Goncharov, Oleg",UKR,22
88,"Kara-Mustafa, Alexey",UKR,22
89,"Martin Martin, Luis Vicente",ESP,22
90,"Michelle Catherina, P",IND,22
91,"Montoya Pecurul, Marc",ESP,22
92,"Morais, Vitor",POR,22
93,"Muller, Wilhelm",ROU,22
94,"Perez Cameselle, Francisco",ESP,22
95,"Pujari, Rucha",IND,22
96,Sanika Sengupta,IND,22
97,"Saranya, J",IND,22
98,"Shweta, Gole",IND,22
99,"Sikorski, Tomasz",POL,22
100,"Socko, Monika",POL,22
