rank,name,fed,rating
1,"Skuthan, Jiri",CZE,40
2,"Stepan, Patrik",CZE,38
3,"Parthasarathy, R",IND,37
4,"Kuchar, Tomas",CZE,36
5,"Pribyl, Josef",CZE,36
6,"Zulfic, Fedja",AUS,35
7,"Abdulwahhab, Ahmed Abdulsattar A",IRQ,33
8,"Al-Saffar, Araz Basim Mohammed S",IRQ,33
9,"Ehab, Mazin Elias",IRQ,33
10,"Gregor, Jiri",CZE,33
11,"Hollan, Martin",CZE,33
12,"Korsa, Jindrich",CZE,33
13,"Kubik, Michael",CZE,33
14,"Novak, Jindrich",CZE,33
15,"Ptacek, Tomas",CZE,33
16,"Ahmed, Ali Layth Ahmed",IRQ,32
17,"Al-Khattab, Ghassan M. Ali Ajmed",IRQ,32
18,"Jacobsen, Mikkel Manosri",DEN,32
19,"Jelinek, Michal",CZE,32
20,"Kanakova, Natalie",CZE,32
21,"Khailatypov, Ruzil",RUS,32
22,"Polok, Kacper",POL,32
23,"Pycha, Patrik",CZE,32
24,"Dvorak, Adam",CZE,31
25,"Haba, Zdenek",CZE,31
26,"Hadzala, Daniel",CZE,31
27,"Hollan, Petr",CZE,31
28,"Kraus, Tomas",CZE,31
29,"Mingazov, Almaz",RUS,31
30,"Mohammed, Zozek Salah Mohammed",IRQ,31
31,"Mohammed,Arpak Worya",IRQ,31
32,Mohan Ram Sridhar,IND,31
33,"Salih, Akar Ali Salih",IRQ,31
34,"Toman, Ondrej",CZE,31
35,"Berta, Sandor",HUN,30
36,"Brown, Andrew",AUS,30
37,"Djurhuus, Eivind X",NOR,30
38,"Fuskova, Martina",CZE,30
39,"Horak, Ales",CZE,30
40,"Ikeda, Junta",AUS,30
41,"Kovar, Josef",CZE,30
42,"Liduch, Filip",CZE,30
43,"Machan, Jan",CZE,30
44,"Pychova, Nela",CZE,30
45,"Rous, Daniel",CZE,30
46,"Smutny, Jan",CZE,30
47,"Vijay, Anand M.",IND,30
48,"Vykouk, Jan",CZE,30
49,"Abo-Hazeem, Mohanned",JOR,29
50,Akash Lal O,IND,29
51,"Alvarado Ascanio, Francisco",ESP,29
52,"Brito Garcia, Alfredo",ESP,29
53,"Camino Carrio, Nicanor",ESP,29
54,"Dolezal, Radoslav",CZE,29
55,"Gonzalez Intelangelo, Gerardo",ESP,29
56,"Joba, Arpad",SVK,29
57,"Kaluzny, Matyas",CZE,29
58,"Kuchar, Matej",CZE,29
59,"Moayed, Obied",JOR,29
60,"Molnar, Erno",SVK,29
61,"Natalicchio Escalante, Nicolas",ESP,29
62,"Noah, A .H. Al-Ali",IRQ,29
63,"Novotny, Michal",CZE,29
64,"Skara, Vladimir",SVK,29
65,"Srija, Seshadri",IND,29
66,"Stolba, Milos",CZE,29
67,"To, Nhat Minh",HUN,29
68,"Vega Gutierrez, Belinda",ESP,29
69,"Walica, Roman",CZE,29
70,"Ahmad, Al Khatib",JOR,28
71,"Alonso Valiente, Alexis",ESP,28
72,"Blahynka, Martin",CZE,28
73,Harikrishnan.A.Ra,IND,28
74,"Julien Casteleiro, Ariel",CUB,28
75,Krishna Kumar,IND,28
76,"Krupicka, Josef",CZE,28
77,"Lokander, Martin",SWE,28
78,"Lyell, Mark",ENG,28
79,"Mejzlik, Vojtech",CZE,28
80,"Richterova, Natasa",CZE,28
81,"Sideris, Theodoros",GRE,28
82,Sree Veeramani P,IND,28
83,"Srikanth, K.",IND,28
84,"Terbe, Zsuzsanna",HUN,28
85,Varshitha V,IND,28
86,"Vega Gutierrez, Sabrina",ESP,28
87,Aravind K,IND,27
88,Arjun Kalyan,IND,27
89,"Atalik, Suat",TUR,27
90,"Bacak Petr Ml.,",CZE,27
91,"Bachmann, Axel",PAR,27
92,"Dale, Ari",AUS,27
93,"Diaz Suarez, Cayetano",ESP,27
94,Erigaisi Arjun,IND,27
95,"Fernandez, Daniel Howard",SIN,27
96,"Grigoriadis, Mihail",GRE,27
97,"Iturrizaga Bonelli, Eduardo",VEN,27
98,"Jumabayev, Rinat",KAZ,27
99,"Kozusek, Daniel",CZE,27
100,"Li, Zuhao Luke",NZL,27
