rank,name,fed,rating
1,"Karpov, Anatoly",URS,2705
2,"Kortschnoj, Viktor",SUI,2695
3,"Portisch, Lajos",HUN,2640
4,"Spassky, Boris V.",URS,2640
5,"Polugaevsky, Lev",URS,2625
6,"Timman, Jan H.",NED,2625
7,"Larsen, Bent",DEN,2620
8,"Mecking, Henrique",BRA,2615
9,"Tal, Mikhail N.",URS,2615
10,"Petrosian, Tigran",URS,2610
11,"Balashov, Yuri S.",URS,2600
12,"Hort, Vlastimil",CSR,2600
13,"Beliavsky, Alexander G.",URS,2595
14,"Dorfman, Josif D.",URS,2595
15,"Dzindzichashvili, Roman",ISR,2595
16,"Huebner, Robert",GER,2595
17,"Ribli, Zoltan",HUN,2595
18,"Kavalek, Lubomir",USA,2590
19,"Ljubojevic, Ljubomir",YUG,2590
20,"Sax, Gyula",HUN,2590
21,"Gulko, Boris F.",URS,2585
22,"Tukmakov, Vladimir B.",URS,2575
23,"Vaganian, Rafael A.",URS,2570
24,"Knaak, Rainer",GDR,2565
25,"Kuzmin, Gennadi P.",URS,2565
26,"Andersson, Ulf",SWE,2560
27,"Gligoric, Svetozar",YUG,2560
28,"Miles, Anthony J.",ENG,2560
29,"Romanishin, Oleg M.",URS,2560
30,"Smyslov, Vassily",URS,2560
31,"Tseshkovsky, Vitaly",URS,2560
32,"Vasiukov, Evgeni",URS,2560
33,"Bronstein, David I.",URS,2555
34,"Olafsson, Fridrik",ISL,2555
35,"Geller, Efim P.",URS,2550
36,"Kholmov, Ratmir D.",URS,2550
37,"Krogius, Nikolai V.",URS,2550
38,"Savon, Vladimir A.",URS,2550
39,"Smejkal, Jan",CSR,2550
40,"Bagirov, Vladimir",URS,2545
41,"Kochyev, Alexander",URS,2545
42,"Panno, Oscar",ARG,2545
43,"Pfleger, Helmut",GER,2545
44,"Quinteros, Miguel A.",ARG,2545
45,"Sveshnikov, Evgeny",URS,2545
46,"Browne, Walter S.",USA,2540
47,"Gheorghiu, Florin",ROM,2540
48,"Kupreichik, Viktor D.",URS,2540
49,"Stean, Michael F.",ENG,2540
50,"Byrne, Robert E.",USA,2535
51,"Giorgadze, Tamaz",URS,2535
52,"Lein, Anatoly",USA,2535
53,"Sosonko, Gennadi",NED,2535
54,"Suetin, Alexey S.",URS,2535
55,"Gufeld, Eduard",URS,2530
56,"Malich, Burkhard",GDR,2530
57,"Parma, Bruno",YUG,2530
58,"Timoshchenko, Gennadi A.",URS,2530
59,"Uhlmann, Wolfgang",GDR,2530
60,"Unzicker, Wolfgang",GER,2530
61,"Adorjan, Andras",HUN,2525
62,"Dvoretzky, Mark",URS,2525
63,"Gipslis, Aivars",URS,2525
64,"Ivkov, Borislav",YUG,2525
65,"Tarjan, James E.",USA,2525
66,"Evans, Larry M.",USA,2520
67,"Lombardy, William J.",USA,2520
68,"Sahovic, Dragutin",YUG,2520
69,"Schmid, Lothar",GER,2520
70,"Torre, Eugenio",PHI,2520
71,"Zhidkov, Valery S.",URS,2520
72,"Alburt, Lev O.",URS,2515
73,"Averbakh, Yuri L.",URS,2515
74,"Kurajica, Bojan",YUG,2515
75,"Liberzon, Vladimir M.",ISR,2515
76,"Lutikov, Anatoly S.",URS,2515
77,"Najdorf, Miguel",ARG,2515
78,"Palatnik, Semon",URS,2515
79,"Rogoff, Kenneth S.",USA,2515
80,"Szabo, Laszlo",HUN,2515
81,"Velimirovic, Dragoljub",YUG,2515
82,"Csom, Istvan",HUN,2510
83,"Farago, Ivan",HUN,2510
84,"Matulovic, Milan",YUG,2510
85,"Mednis, Edmar J.",USA,2510
86,"Pachman, Ludek",GER,2510
87,"Taimanov, Mark E.",URS,2510
88,"Darga, Klaus",GER,2505
89,"Gurgenidze, Bukhuti",URS,2505
90,"Marjanovic, Slavoljub",YUG,2505
91,"Tseitlin, Mark D.",URS,2505
92,"Tseitlin, Mikhail S.",URS,2505
93,"Zaitsev, Igor A.",URS,2505
94,"Hernandez, Roman",CUB,2500
95,"Knezevic, Milorad",YUG,2500
96,"Kovacevic, Vladimir",YUG,2500
97,"Makarichev, Sergey",URS,2500
98,"Ney, Iivo",URS,2500
99,"Nunn, John D. M.",ENG,2500
100,"Rashkovsky, Nukhim N.",URS,2500
