rank,name,fed,rating
1,"Jurcik, Marian",SVK,46
2,"Mashmooli, Kian",IRI,44
3,"Mosadeghpour, Masoud",IRI,43
4,"Jozefek, Michal",SVK,41
5,"Kravec, Patrik",SVK,39
6,"Ghanbarzadeh, Reza",IRI,38
7,"Karas, Marek",SVK,38
8,"Jurcik, Martin",SVK,37
9,"Omidi, Arya",IRI,36
10,"Tabatabaei, M.amin",IRI,36
11,"Golizadeh, Asghar",IRI,35
12,"Tahbaz, Arash",IRI,35
13,"Darban, Morteza",IRI,34
14,"Hros, Roman",SVK,34
15,"Galehdari, Bardia",IRI,33
16,"Ghaziolsharif, Kaveh",IRI,33
17,"Falah, Mehdi",IRI,32
18,"Ftacnik, Lubomir",SVK,32
19,"Macko, Michal",SVK,32
20,"Pipiska, Adam",SVK,32
21,"Sepesi, Samuel",SVK,32
22,"Sosovicka, Juraj",SVK,32
23,"Darini, Pouria",IRI,31
24,"Istona, Martin",SVK,31
25,"Alinasab, Mobina",IRI,30
26,"Danada, Tomas",SVK,30
27,"Hosseinzadeh, Nima",IRI,30
28,"Manik, Mikulas",SVK,30
29,"Nasri, Amin",IRI,30
30,"Ocko, Martin",SVK,30
31,"Pastir, Stanislav",SVK,30
32,"Sheykhhasani, Bardia",IRI,30
33,"Khorsandi, Arian",IRI,29
34,"Kleman, Miroslav",SVK,29
35,"Lukacovic, Miroslav",SVK,29
36,"Najgebauer, Szemjon",UKR,29
37,"Nayhebaver, Martin",SVK,29
38,"Noroozi, Omid",IRI,29
39,"Petrik, Tomas",SVK,29
40,"Roozbayan, Reza",IRI,29
41,"Saga, Vladimir",SVK,29
42,"Sorgic, Dragan",SRB,29
43,"Ahmadinia, Ebrahim",IRI,28
44,"Almahjoub, Mokhtar",LBA,28
45,"Asgari, Morteza",IRI,28
46,"Derakhshani, Borna",IRI,28
47,"Haring, Viktor",SVK,28
48,"Henriquez Villagra, Cristobal",CHI,28
49,"Kerdik, Adam",SVK,28
50,"Khademi, Mohammad Miran",IRI,28
51,"Khodashenas, Mersad",IRI,28
52,"Kriebel, Tadeas",CZE,28
53,"Kusiak, Matej",SVK,28
54,"Moradi, Amirmasoud",IRI,28
55,"Palider, Pavol",SVK,28
56,"Pcola, Jaroslav",SVK,28
57,"Petkov, Vladimir",BUL,28
58,"Sahidi, Samir",SVK,28
59,"Shafiei, Mahdi",IRI,28
60,"Svana, Peter",SVK,28
61,"Al-Zayat, Ahmed",LBA,27
62,"Chylewski, Patryk",POL,27
63,"Harvan, Richard",SVK,27
64,"Jacko, Vladimir",SVK,27
65,"Khoshkalam, Seyed Mehrab",IRI,27
66,"Petenyi, Tamas",SVK,27
67,"Plat, Vojtech",CZE,27
68,"Solodovnichenko, Yuri",UKR,27
69,"Ackermann, Hans Werner",GER,26
70,"Adamciak, Tomas",SVK,26
71,"Babaniya, Benyamin",IRI,26
72,"Dolnak, Michal",SVK,26
73,"Firoozja, Alireza",IRI,26
74,"Klemanic, Emil",SVK,26
75,"Kouchaki Penchah, Jaber",IRI,26
76,"Motycakova, Monika",SVK,26
77,"Murin, Pavol",SVK,26
78,"Norooz, Melika",IRI,26
79,"Pagerka, Martin",SVK,26
80,"Pavlik, Milan",SVK,26
81,"Pechac, Jergus",SVK,26
82,"Szucs, Vladimir",SVK,26
83,"Adilbekova, Erkezhan",KAZ,25
84,"Bagheri, Arian",IRI,25
85,"Danielsen, Henrik",ISL,25
86,"Dobrotka, Martin",SVK,25
87,"Dujava, Jonas",SVK,25
88,"Faghirnavaz, Ali",IRI,25
89,"Jablonicky, Martin",SVK,25
90,"Kantorik, Marian",SVK,25
91,"Khamisi, S Jafar",IRI,25
92,"Lopez Ziegler, Carlos",ESP,25
93,"Madi, Emad",LBA,25
94,"Makhnyov, Denis",KAZ,25
95,"Mousavi, Seyed Khalil",IRI,25
96,"Nemeckay, Rastislav",SVK,25
97,"Ostrochovsky, Anton",SVK,25
98,"Polacik, Igor",SVK,25
99,"Rojicek, Vojtech",CZE,25
100,"Santiago, Yago De Moura",BRA,25
