rank,name,fed,rating
1,"Sammed Jaykumar,Shete",IND,53
2,"Meszaros, Andras",HUN,44
3,"Tan, Justin",AUS,43
4,"Muralidharan, R.",IND,42
5,"Juhasz, Bela",HUN,40
6,"Stocek, Jiri",CZE,40
7,Tarun V Kanth,IND,40
8,Vantika Agrawal,IND,39
9,Narvekar Pruthviraj,IND,37
10,Prakashram R,IND,37
11,"Puccini, Jack",AUS,37
12,"Sai Agni Jeevitesh, J",IND,37
13,"Supriya, Joshi",IND,37
14,Harshita Guddanti,IND,36
15,"Poras,Sanjay Kolgane",IND,36
16,Prasant N Nayagam,IND,36
17,"Smirnov, Anton",AUS,36
18,"Subramanian, T.V.",IND,36
19,"Arkell, Keith C",ENG,35
20,"Bonu,Ravi Kumar",IND,35
21,"Jayarathne, M N G",SRI,35
22,"Kuldeep, Kashyap",IND,35
23,"Lyell, Mark",ENG,35
24,Anigani Kavya,IND,34
25,"Dale, Ari",AUS,34
26,"Gandhi, Anish",IND,34
27,"Haub, Thorsten Michael",GER,34
28,Likhit Chilukuri,IND,34
29,Marthandan K U,IND,34
30,"Parag Ravindra,Patil",IND,34
31,Prajesh R,IND,34
32,"Solomon, Rathna Sekaran",IND,34
33,Vishesh Agrawal,IND,34
34,Aansh Gupta,IND,33
35,"Daurelle, Herve",FRA,33
36,"Grimm, Gyorgy",HUN,33
37,"Piankov, Evgenij",UKR,33
38,"Sushrutha, Reddy",IND,33
39,"Gromovs, Sergejs",ITA,32
40,Muhammed Haris P Khalid,IND,32
41,Potluri Supreetha,IND,32
42,Warude Satyam,IND,32
43,"Czimer, Jozsef",HUN,31
44,"Girones Barrios, Yans Richard",CUB,31
45,"M Tulasi Ram, Kumar",IND,31
46,"Sienczewski, Zbigniew",POL,31
47,"Sucikova, Svetlana",SVK,31
48,"Aditya, S S V",IND,30
49,Aishwin Daniel,IND,30
50,"Collins, Sam E.",IRL,30
51,"Cuellar, Diego",PER,30
52,D.K. Chopra,IND,30
53,"Diaz Hernandez, Heriberto",CUB,30
54,"Figueredo Losada, Leonel",CUB,30
55,"Hambleton, Aman",CAN,30
56,"Lopez Gonzalez, Abel Fabian",CUB,30
57,Praggnanandhaa R,IND,30
58,"Senbabu, M B",IND,30
59,"Szurkos, Andras",HUN,30
60,Vijayakumar.N.,IND,30
61,"Farkas, Richard",HUN,29
62,"Georgiev, Vladimir",MKD,29
63,"Li, Zuhao Luke",NZL,29
64,"Llorente Bello, Eduardo",CUB,29
65,Priyanka Nutakki,IND,29
66,Rohit Ramanan T G,IND,29
67,"Ruiz C, Joshua D",COL,29
68,Sandip Dey,IND,29
69,"Sevillano, Enrico",USA,29
70,Swain Ashirwad,IND,29
71,Varun Anant,IND,29
72,"Voon, Richard",AUS,29
73,Anuraag G Rajagopalan,IND,28
74,"Arous, Andre",FRA,28
75,"Chakravarthi Reddy, M",IND,28
76,Deep Kapoor,IND,28
77,"Dvorak, Vladimir",CZE,28
78,"Harini, S.",IND,28
79,"Hemanth, Kumar",IND,28
80,"Ikeda, Junta",AUS,28
81,Kadav Omkar,IND,28
82,"Malla, Nooka Raju",IND,28
83,"Mandla, Blair",AUS,28
84,Mishra Anwesha,IND,28
85,"Mrdja, Milan",CRO,28
86,Munemane Ameya,IND,28
87,Neelash Saha,IND,28
88,"Selvabharathy, T",IND,28
89,"Yogit, S",IND,28
90,"Adethya, R",IND,27
91,Aditya Basu,IND,27
92,"Antal, Tibor Kende",HUN,27
93,Aswin.p.g,IND,27
94,Atharvaa P Tayade,IND,27
95,"Chakravarthi, S.V.C.",IND,27
96,"Furedi, Erik",HUN,27
97,Grahesh Y,IND,27
98,"Johansen, Darryl K.",AUS,27
99,"Kulkarni, Vinayak",IND,27
100,"Lei, Tingjie",CHN,27
