rank,name,fed,rating
1,"Kasparov, Garry",RUS,2847
2,"Kramnik, Vladimir",RUS,2807
3,"Fischer, Robert J",USA,2780
4,"Anand, Viswanathan",IND,2753
5,"Topalov, Veselin",BUL,2743
6,"Leko, Peter",HUN,2736
7,"Adams, Michael",ENG,2734
8,"Ponomariov, Ruslan",UKR,2734
9,"Bareev, Evgeny",RUS,2729
10,"Shirov, Alexei",ESP,2723
11,"Kamsky, Gata",USA,2717
12,"Grischuk, Alexander",RUS,2712
13,"Akopian, Vladimir",ARM,2703
14,"Khalifman, Alexander",RUS,2702
15,"Gelfand, Boris",ISR,2700
16,"Polgar, Judit (GM)",HUN,2700
17,"Ivanchuk, Vassily",UKR,2699
18,"Svidler, Peter",RUS,2693
19,"Dreev, Alexey",RUS,2690
20,"Short, Nigel D.",ENG,2690
21,"Karpov, Anatoly",RUS,2688
22,"Sokolov, Ivan",NED,2688
23,"Ye, Jiangchuan",CHN,2682
24,"Azmaiparashvili, Zurab",GEO,2678
25,"Morozevich, Alexander",RUS,2678
26,"Malakhov, Vladimir",RUS,2677
27,"Almasi, Zoltan",HUN,2676
28,"Kasimdzhanov, Rustam",UZB,2676
29,"Bacrot, Etienne",FRA,2671
30,"Zvjaginsev, Vadim",RUS,2671
31,"Lautier, Joel",FRA,2670
32,"Van Wely, Loek",NED,2668
33,"Vaganian, Rafael A",ARM,2667
34,"Sasikiran, Krishnan",IND,2664
35,"Smirin, Ilia",ISR,2664
36,"Movsesian, Sergei",SVK,2663
37,"Onischuk, Alexander",USA,2658
38,"Georgiev, Kiril",MKD,2654
39,"Sutovsky, Emil",ISR,2651
40,"Beliavsky, Alexander G",SLO,2649
41,"Landa, Konstantin",RUS,2649
42,"Piket, Jeroen",NED,2646
43,"Sakaev, Konstantin",RUS,2645
44,"Rublevsky, Sergei",RUS,2644
45,"Salov, Valery",RUS,2644
46,"Korchnoi, Viktor",SUI,2642
47,"Tkachiev, Vladislav",FRA,2642
48,"Lutz, Christopher",GER,2640
49,"Motylev, Alexander",RUS,2640
50,"Lputian, Smbat G",ARM,2638
51,"Nikolic, Predrag",BIH,2638
52,"Lastin, Alexander",RUS,2636
53,"Seirawan, Yasser",USA,2636
54,"Kobalia, Mikhail",RUS,2635
55,"Tiviakov, Sergei",NED,2635
56,"Gurevich, Mikhail",BEL,2634
57,"Hjartarson, Johann",ISL,2634
58,"Aleksandrov, Aleksej",BLR,2633
59,"Krasenkow, Michal",POL,2633
60,"Bologan, Viktor",MDA,2630
61,"Graf, Alexander",GER,2630
62,"Kaidanov, Gregory S",USA,2629
63,"Macieja, Bartlomiej",POL,2629
64,"Vallejo Pons, Francisco",ESP,2629
65,"Epishin, Vladimir",RUS,2626
66,"Xu, Jun",CHN,2626
67,"Huebner, Robert Dr.",GER,2625
68,"Khenkin, Igor",GER,2624
69,"Pelletier, Yannick",SUI,2624
70,"Radjabov, Teimour",AZE,2624
71,"Sadler, Matthew",ENG,2624
72,"Volkov, Sergey",RUS,2624
73,"Zhang, Zhong",CHN,2624
74,"Acs, Peter",HUN,2623
75,"Granda Zuniga, Julio E",PER,2623
76,"Goldin, Alexander",USA,2621
77,"Nielsen, Peter Heine",DEN,2620
78,"Filippov, Valerij",RUS,2616
79,"Ftacnik, Lubomir",SVK,2616
80,"Hamdouchi, Hichem",MAR,2615
81,"Pigusov, Evgeny",RUS,2615
82,"Alekseev, Evgeny",RUS,2614
83,"Bruzon, Lazaro",CUB,2613
84,"Korneev, Oleg",RUS,2613
85,"Shabalov, Alexander",USA,2613
86,"Tregubov, Pavel V.",RUS,2612
87,"Nunn, John D.M.",ENG,2611
88,"Aronian, Levon",ARM,2610
89,"Dorfman, Josif D",FRA,2610
90,"Hansen, Curt",DEN,2610
91,"Hodgson, Julian M.",ENG,2608
92,"Baklan, Vladimir",UKR,2605
93,"Hellers, Ferdinand",SWE,2605
94,"Dautov, Rustem",GER,2604
95,"Eingorn, Vereslav S",UKR,2604
96,"Kazhgaleyev, Murtas",KAZ,2604
97,"Rustemov, Alexander",RUS,2604
98,"Shipov, Sergei",RUS,2604
99,"Dominguez, Lenier",CUB,2602
100,"Giorgadze, Giorgi",GEO,2601
