rank,name,fed,rating
1,Aasha C R,IND,35
2,Sivasubramanian S,IND,34
3,"Subramanian, V",IND,34
4,"Subramanian, T.V.",IND,33
5,Ashwani Kumar Grover,IND,32
6,"Milikow, Yoav",ISR,31
7,"Aprea, Daniele",ITA,29
8,Shreya K,IND,29
9,"Ali, Abdulaziz",UAE,28
10,Kadav Omkar,IND,28
11,"Kathmale, Sameer",IND,28
12,Ahmed Rashed Al Hefeti,UAE,27
13,"Albornoz Cabrera, Carlos Daniel",CUB,27
14,"Ammar, Sedrani",UAE,27
15,"Konguvel, Ponnuswamy",IND,27
16,Krishna C R G,IND,27
17,"Menichelli, Alessandro",ITA,27
18,Prasannaa.s,IND,27
19,"Shyam Sundar, T.",IND,27
20,"Sundararajan, Kidambi",IND,27
21,"Gusain, Himal",IND,26
22,"Himanshu, Sharma",IND,26
23,"Laxman, R.R.",IND,26
24,"Lazarev, Vladimir",FRA,26
25,"Marianidis, Dimitrios",GRE,26
26,"Nikolov, Momchil",BUL,26
27,Pankaj Sindhu,IND,26
28,"Ramnathan, Balasubramaniam",IND,26
29,"Safranska, Anda",FRA,26
30,"Sandhya, G",IND,26
31,Sharma Pankaj,IND,26
32,Shubham,IND,26
33,"Sienczewski, Zbigniew",POL,26
34,"Drazic, Sinisa",SRB,25
35,Gaurav Sharma,IND,25
36,"Neelotpal, Das",IND,25
37,"Poleg, Dan",ISR,25
38,"Yohan, J.",IND,25
39,Benasir M,IND,24
40,"Bronstein, Or",ISR,24
41,"Cubas Pons, Juan Miguel",ESP,24
42,"Dev, Shah",IND,24
43,"Enchev, Ivajlo",BUL,24
44,"Gromovs, Sergejs",ITA,24
45,Krishna Malay,IND,24
46,Shubh Kapur,IND,24
47,Thaga Sheriff M,IND,24
48,"Tifferet, Shaked",ISR,24
49,"Villar Reymundo, Juan Antonio",PER,24
50,"Kolak, Tanya",AUS,23
51,"Lei, Tingjie",CHN,23
52,"Mosallam, Mohammad",UAE,23
53,"Ntaifas, Ioannis",GRE,23
54,"Nyazi, Nehad",EGY,23
55,"Rafee, Mohd Hayel",SYR,23
56,Sudipta Chakraborty,IND,23
57,"Wei, Yi",CHN,23
58,"Ahmed, Fareed",UAE,22
59,"Al Zaabi, Talal",UAE,22
60,"Andersen, Soren Mikkel",DEN,22
61,"Ashraf, Ahmed Ramadan",EGY,22
62,"Diaz Rodriguez, Jose Antonio",ESP,22
63,"Khalifah, Khaled",UAE,22
64,"Khaliullin, Emil",RUS,22
65,"Kolotilina, Liudmila",ESP,22
66,"Lu, Shanglei",CHN,22
67,Naveen Kumar T,IND,22
68,"Olsen, William",NOR,22
69,"Saif, Ahmed",UAE,22
70,"Salem, Ahmed Salem",UAE,22
71,"Smutny, Jan",CZE,22
72,"Sorigue, Augustin",FRA,22
73,"Tan, Zhongyi",CHN,22
74,"Tryggestad, Andreas Garberg",NOR,22
75,"Voon, Richard",AUS,22
76,"Zhou, Jianchao",CHN,22
77,"Danilo, Reyes G.",PHI,21
78,"De Armas Avila, Jonathan",CUB,21
79,"Garcia Carnesoltas, Wendysleidys",CUB,21
80,"Gomez Sanchez, Jorge Marcos",CUB,21
81,"Gonzalez Viart, Damisyelis",CUB,21
82,"Guo, Qi",CHN,21
83,Hamad Essam,UAE,21
84,"Kakulidis, Ellen",DEN,21
85,"Khezrian, Mohammad",USA,21
86,"Maksimovic, Branimir",SRB,21
87,Mohd. Arshi Khan,IND,21
88,"Nilsen, Tobias Lang",NOR,21
89,"Pacher, Milan",SVK,21
90,"Pap, Misa",SRB,21
91,Patra Subhendu Kumar,IND,21
92,"Ramos Aguilar, Jose Manuel",ESP,21
93,"Rodi, Luis Ernesto",URU,21
94,"Zamora De Jesus, Norlen Caridad",CUB,21
95,"Abou El Zein, Eid Mahmoud",EGY,20
96,"Adly, Ahmed",EGY,20
97,"Alakbarov, Emin",AZE,20
98,"Ali, Karim",NOR,20
99,"Anairousis, Panag",GRE,20
100,"Azizov, Kamal",AZE,20
