rank,name,fed,rating
1,"Kasparov, Garry",RUS,2815
2,"Anand, Viswanathan",IND,2795
3,"Fischer, Robert James",USA,2780
4,"Kramnik, Vladimir",RUS,2780
5,"Ivanchuk, Vassily",UKR,2730
6,"Karpov, Anatoly",RUS,2725
7,"Kamsky, Gata",USA,2720
8,"Shirov, Alexei",ESP,2720
9,"Adams, Michael",ENG,2715
10,"Svidler, Peter",RUS,2710
11,"Topalov, Veselin",BUL,2700
12,"Bareev, Evgeny",RUS,2690
13,"Rublevsky, Sergei",RUS,2685
14,"Gelfand, Boris",BLR,2675
15,"Salov, Valery",RUS,2670
16,"Short, Nigel D.",ENG,2670
17,"Leko, Peter",HUN,2665
18,"Polgar, Judit",HUN,2665
19,"Georgiev, Kiril",BUL,2660
20,"Sadler, Matthew",ENG,2660
21,"Akopian, Vladimir",ARM,2655
22,"Azmaiparashvili, Zurab",GEO,2655
23,"Krasenkow, Michal",POL,2655
24,"Timman, Jan H.",NED,2655
25,"Tiviakov, Sergei",RUS,2655
26,"Almasi, Zoltan",HUN,2650
27,"Oll, Lembit",EST,2650
28,"Zvjaginsev, Vadim",RUS,2650
29,"Andersson, Ulf",SWE,2645
30,"Beliavsky, Alexander G.",SLO,2645
31,"Dreev, Alexey",RUS,2645
32,"Khalifman, Alexander",RUS,2645
33,"Shabalov, Alexander",USA,2645
34,"Tkachiev, Vladislav",FRA,2645
35,"Jussupow, Artur",GER,2640
36,"Milov, Vadim",SUI,2640
37,"Movsesian, Sergei",CZE,2640
38,"Nikolic, Predrag",BIH,2640
39,"Sakaev, Konstantin",RUS,2635
40,"Shipov, Sergei",RUS,2635
41,"Van Wely, Loek",NED,2635
42,"Hjartarson, Johann",ISL,2630
43,"Onischuk, Alexander",UKR,2630
44,"Seirawan, Yasser",USA,2630
45,"Vaganian, Rafael A.",ARM,2630
46,"Dautov, Rustem",GER,2625
47,"Kaidanov, Gregory S.",USA,2625
48,"Kortschnoj, Viktor",SUI,2625
49,"Lautier, Joel",FRA,2625
50,"Morozevich, Alexander",RUS,2625
51,"Nenashev, Alexander",UZB,2625
52,"Yermolinsky, Alex",USA,2625
53,"Ehlvest, Jaan",EST,2620
54,"Minasian, Artashes",ARM,2620
55,"Sokolov, Ivan",BIH,2620
56,"Hracek, Zbynek",CZE,2615
57,"Lputian, Smbat G.",ARM,2615
58,"Smirin, Ilia",ISR,2615
59,"Adianto, Utut",INA,2610
60,"Chernin, Alexander",HUN,2610
61,"Christiansen, Larry M.",USA,2610
62,"Eingorn, Vereslav S.",UKR,2610
63,"Giorgadze, Giorgi",GEO,2610
64,"Gurevich, Mikhail",BEL,2610
65,"Hansen, Curt",DEN,2610
66,"Ibragimov, Ildar",RUS,2610
67,"De Firmian, Nick E.",USA,2605
68,"Granda Zuniga, Julio E.",PER,2605
69,"Hellers, Ferdinand",SWE,2605
70,"Illescas Cordoba, Miguel",ESP,2605
71,"Morovic Fernandez, Ivan",CHI,2605
72,"Pigusov, Evgeny",RUS,2605
73,"Piket, Jeroen",NED,2605
74,"Rogers, Ian",AUS,2605
75,"Tukmakov, Vladimir B.",UKR,2605
76,"Volkov, Sergey",RUS,2605
77,"Wahls, Matthias",GER,2605
78,"Alterman, Boris",ISR,2600
79,"Annakov, Babakuli",TKM,2600
80,"Asrian, Karen",ARM,2600
81,"Fedorov, Alexei",BLR,2600
82,"Khenkin, Igor",RUS,2600
83,"Korneev, Oleg",RUS,2600
84,"Lutz, Christopher",GER,2600
85,"Nunn, John D. M.",ENG,2600
86,"Romanishin, Oleg M.",UKR,2600
87,"Speelman, Jonathan S.",ENG,2600
88,"Sturua, Zurab",GEO,2600
89,"Aleksandrov, Aleksej",BLR,2595
90,"Benjamin, Joel",USA,2595
91,"Filippov, Valerij",RUS,2595
92,"Pinter, Jozsef",HUN,2595
93,"Portisch, Lajos",HUN,2595
94,"Spasov, Vasil",BUL,2595
95,"Timoshenko, Georgy",UKR,2595
96,"Wojtkiewicz, Aleksander",POL,2595
97,"Baburin, Alexander",IRL,2590
98,"Hebden, Mark",ENG,2590
99,"Malaniuk, Vladimir P.",UKR,2590
100,"Miles, Anthony J.",ENG,2590
