rank,name,fed,rating
1,"Carlsen, Magnus",NO,2864
2,"Ding, Liren",CN,2806
3,"Firouzja, Alireza",FR,2804
4,"Caruana, Fabiano",US,2786
5,"Rapport, Richard",HU,2776
6,"Nepomniachtchi, Ian",RU,2773
7,"Mamedyarov, Shakhriyar",AZ,2770
8,"So, Wesley",US,2766
9,"Aronian, Levon",US,2765
10,"Giri, Anish",NL,2761
11,"Nakamura, Hikaru",US,2760
12,"Dominguez Perez, Leinier",US,2753
13,"Radjabov, Teimour",AZ,2753
14,"Anand, Viswanathan",IN,2751
15,"Vachier-Lagrave, Maxime",FR,2750
16,"Duda, Jan-Krzysztof",PL,2750
17,"Karjakin, Sergey",RU,2747
18,"Wang, Hao",CN,2744
19,"Grischuk, Alexander",RU,2742
20,"Topalov, Veselin",BG,2730
21,"Andreikin, Dmitry",FF,2729
22,"Wei, Yi",CN,2727
23,"Vidit, Santosh Gujrathi",IN,2723
24,"Vitiugov, Nikita",FF,2722
25,"Shankland, Sam",US,2718
26,"Van Foreest, Jorden",NL,2715
27,"Yu, Yangyi",CN,2710
28,"Bu, Xiangzhi",CN,2709
29,"Esipenko, Andrey",FF,2709
30,"Tomashevsky, Evgeny",RU,2708
31,"Harikrishna, Pentala",IN,2705
32,"Vallejo Pons, Francisco",ES,2704
33,"Sevian, Samuel",US,2703
34,"Dubov, Daniil",RU,2702
35,"Fedoseev, Vladimir",FF,2701
36,"Artemiev, Vladislav",RU,2700
37,"Maghsoodloo, Parham",IR,2699
38,"Adams, Michael",EN,2698
39,"Alekseenko, Kirill",FF,2698
40,"Sjugirov, Sanan",RU,2696
41,"Wojtaszek, Radoslaw",PL,2696
42,"Shirov, Alexei",ES,2695
43,"Sargissian, Gabriel",AM,2694
44,"Saric, Ivan",HR,2693
45,"Nyzhnyk, Illya",UA,2692
46,"Anton Guijarro, David",ES,2691
47,"Salem, A.R. Saleh",AE,2690
48,"Predke, Alexandr",FF,2688
49,"Xiong, Jeffery",US,2688
50,"Amin, Bassem",EG,2686
51,"Oparin, Grigoriy",FF,2685
52,"Volokitin, Andrei",UA,2684
53,"Robson, Ray",US,2684
54,"Svidler, Peter",RU,2683
55,"Navara, David",CZ,2682
56,"Cheparinov, Ivan",BG,2682
57,"Jakovenko, Dmitry",RU,2682
58,"Eljanov, Pavel",UA,2681
59,"Li, Chao b",CN,2679
60,"Almasi, Zoltan",HU,2677
61,Erigaisi Arjun,IN,2675
62,"Sarana, Alexey",FF,2675
63,"Kryvoruchko, Yuriy",UA,2674
64,"Kovalenko, Igor",UA,2674
65,"Matlakov, Maxim",RU,2674
66,"Santos Latasa, Jaime",ES,2672
67,"Korobov, Anton",UA,2671
68,"Deac, Bogdan-Daniel",RO,2671
69,"Maroroa Jones, Gawain C B",EN,2669
70,"Guseinov, Gadir",AZ,2668
71,"Gelfand, Boris",IL,2668
72,"Ni, Hua",CN,2668
73,"Areshchenko, Alexander",UA,2667
74,"Keymer, Vincent",DE,2667
75,"Ma, Qun",CN,2666
76,"Swiercz, Dariusz",US,2665
77,"Bluebaum, Matthias",DE,2663
78,Narayanan.S.L,IN,2662
79,"Kamsky, Gata",US,2661
80,"Abdusattorov, Nodirbek",UZ,2661
81,Gukesh D,IN,2659
82,"Kasimdzhanov, Rustam",UZ,2659
83,"Inarkiev, Ernesto",RU,2659
84,"Najer, Evgeniy",RU,2659
85,"Niemann, Hans Moke",US,2656
86,"Mamedov, Rauf",AZ,2656
87,"Melkumyan, Hrant",AM,2655
88,"Tari, Aryan",NO,2654
89,"Berkes, Ferenc",HU,2654
90,"Demchenko, Anton",FF,2654
91,"Naiditsch, Arkadij",AZ,2654
92,"Mareco, Sandro",AR,2653
93,"Howell, David W L",EN,2653
94,"Martirosyan, Haik M.",AM,2652
95,"Pichot, Alan",AR,2652
96,"Malakhov, Vladimir",RU,2652
97,"Moussard, Jules",FR,2651
98,"Svane, Rasmus",DE,2651
99,"Sasikiran, Krishnan",IN,2651
100,"Tabatabaei, M. Amin",IR,2650
