rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2861
2,"Caruana, Fabiano",USA,2816
3,"Kasparov, Garry",RUS,2812
4,"Ding, Liren",CHN,2805
5,"Giri, Anish",NED,2787
6,"Mamedyarov, Shakhriyar",AZE,2781
7,"Vachier-Lagrave, Maxime",FRA,2780
8,"Anand, Viswanathan",IND,2774
9,"Nepomniachtchi, Ian",RUS,2773
10,"Grischuk, Alexander",RUS,2772
11,"Aronian, Levon",ARM,2762
12,"Nakamura, Hikaru",USA,2761
13,"Radjabov, Teimour",AZE,2759
14,"Artemiev, Vladislav",RUS,2754
15,"So, Wesley",USA,2754
16,"Kramnik, Vladimir",RUS,2753
17,"Karjakin, Sergey",RUS,2752
18,"Dominguez Perez, Leinier",USA,2750
19,"Topalov, Veselin",BUL,2740
20,"Svidler, Peter",RUS,2739
21,"Yu, Yangyi",CHN,2739
22,"Rapport, Richard",HUN,2736
23,"Wei, Yi",CHN,2736
24,"Wang, Hao",CHN,2735
25,"Vitiugov, Nikita",RUS,2734
26,"Harikrishna, Pentala",IND,2730
27,"Bu, Xiangzhi",CHN,2729
28,"Duda, Jan-Krzysztof",POL,2728
29,"Navara, David",CZE,2728
30,"Wojtaszek, Radoslaw",POL,2724
31,"Andreikin, Dmitry",RUS,2722
32,"Shankland, Sam",USA,2717
33,"Jakovenko, Dmitry",RUS,2708
34,"Vidit, Santosh Gujrathi",IND,2707
35,"Amin, Bassem",EGY,2704
36,"Le, Quang Liem",VIE,2704
37,"Jones, Gawain C B",ENG,2702
38,"Tomashevsky, Evgeny",RUS,2702
39,"Adhiban, B.",IND,2701
40,"Li, Chao b",CHN,2699
41,"Rodshtein, Maxim",ISR,2699
42,"Howell, David W L",ENG,2698
43,"Matlakov, Maxim",RUS,2697
44,"Saric, Ivan",CRO,2694
45,"Wang, Yue",CHN,2694
46,"Adams, Michael",ENG,2693
47,"Inarkiev, Ernesto",RUS,2691
48,"Kryvoruchko, Yuriy",UKR,2691
49,"Dubov, Daniil",RUS,2690
50,"Grandelius, Nils",SWE,2688
51,"Sadler, Matthew D",ENG,2688
52,"Vallejo Pons, Francisco",ESP,2688
53,"Almasi, Zoltan",HUN,2687
54,"Korobov, Anton",UKR,2687
55,"Cori, Jorge",PER,2686
56,"Fedoseev, Vladimir",RUS,2683
57,"Firouzja, Alireza",IRI,2682
58,"Naiditsch, Arkadij",AZE,2682
59,"Ragger, Markus",AUT,2682
60,"McShane, Luke J",ENG,2681
61,"Sargissian, Gabriel",ARM,2681
62,"Xiong, Jeffery",USA,2679
63,"Bacrot, Etienne",FRA,2678
64,"Kovalev, Vladislav",BLR,2678
65,"Nabaty, Tamir",ISR,2678
66,"Berkes, Ferenc",HUN,2677
67,"Ivanchuk, Vassily",UKR,2677
68,"Gelfand, Boris",ISR,2676
69,"Areshchenko, Alexander",UKR,2675
70,"Ni, Hua",CHN,2675
71,"Polgar, Judit",HUN,2675
72,"Ponomariov, Ruslan",UKR,2675
73,"Gyimesi, Zoltan",HUN,2674
74,"Leko, Peter",HUN,2674
75,"Najer, Evgeniy",RUS,2674
76,"Sasikiran, Krishnan",IND,2673
77,"Salem, A.R. Saleh",UAE,2672
78,"Demchenko, Anton",RUS,2671
79,"Maghsoodloo, Parham",IRI,2671
80,"Anton Guijarro, David",ESP,2667
81,"Cheparinov, Ivan",GEO,2667
82,"Nisipeanu, Liviu-Dieter",GER,2667
83,"Swiercz, Dariusz",USA,2667
84,"Sevian, Samuel",USA,2666
85,"Bruzon Batista, Lazaro",CUB,2664
86,"Kamsky, Gata",USA,2664
87,"Kuzubov, Yuriy",UKR,2664
88,"Kovalenko, Igor",LAT,2663
89,"Dreev, Aleksey",RUS,2662
90,"Hou, Yifan",CHN,2662
91,"Eljanov, Pavel",UKR,2661
92,"Sjugirov, Sanan",RUS,2661
93,"Laznicka, Viktor",CZE,2660
94,"Malakhov, Vladimir",RUS,2660
95,"Tkachiev, Vladislav",FRA,2660
96,"Lautier, Joel",FRA,2658
97,"Melkumyan, Hrant",ARM,2658
98,"Shirov, Alexei",ESP,2658
99,"Van Kampen, Robin",NED,2658
100,"Piorun, Kacper",POL,2657
