rank,name,fed,rating
1,"Carlsen, Magnus",NO,2829
2,"Caruana, Fabiano",US,2795
3,"Ding, Liren",CN,2780
4,"Nakamura, Hikaru",US,2778
5,"Firouzja, Alireza",FR,2777
6,"Nepomniachtchi, Ian",RU,2771
7,"So, Wesley",US,2752
8,"Giri, Anish",NL,2752
9,"Karjakin, Sergey",RU,2750
10,"Rapport, Richard",RO,2748
11,"Anand, Viswanathan",IN,2748
12,Gukesh D,IN,2746
13,"Dominguez Perez, Leinier",US,2745
14,"Radjabov, Teimour",AZ,2745
15,Praggnanandhaa R,IN,2741
16,"Mamedyarov, Shakhriyar",AZ,2734
17,"Vachier-Lagrave, Maxime",FR,2734
18,"Maghsoodloo, Parham",IR,2732
19,"Grischuk, Alexander",RU,2732
20,Le Quang Liem,VN,2731
21,"Duda, Jan-Krzysztof",PL,2731
22,"Wei, Yi",CN,2729
23,"Aronian, Levon",US,2727
24,"Topalov, Veselin",BG,2727
25,"Abdusattorov, Nodirbek",UZ,2722
26,"Keymer, Vincent",DE,2721
27,"Yu, Yangyi",CN,2720
28,"Vidit, Santosh Gujrathi",IN,2715
29,"Artemiev, Vladislav",RU,2714
30,Erigaisi Arjun,IN,2713
31,"Vitiugov, Nikita",EN,2712
32,"Harikrishna, Pentala",IN,2711
33,"Dubov, Daniil",RU,2710
34,"Martirosyan, Haik M.",AM,2708
35,"Sjugirov, Sanan",HU,2703
36,"Van Foreest, Jorden",NL,2700
37,"Deac, Bogdan-Daniel",RO,2700
38,"Eljanov, Pavel",UA,2697
39,"Robson, Ray",US,2696
40,"Sevian, Samuel",US,2696
41,"Navara, David",CZ,2695
42,"Tabatabaei, M. Amin",IR,2694
43,"Wang, Hao",CN,2694
44,Nihal Sarin,IN,2692
45,"Svidler, Peter",FF,2689
46,"Grandelius, Nils",SE,2688
47,"Shankland, Sam",US,2686
48,"Sargissian, Gabriel",AM,2686
49,"Sindarov, Javokhir",UZ,2681
50,"Tomashevsky, Evgeny",RU,2681
51,"Xiong, Jeffery",US,2681
52,"Kasimdzhanov, Rustam",UZ,2679
53,"Abasov, Nijat",AZ,2679
54,"Esipenko, Andrey",FF,2677
55,"Bu, Xiangzhi",CN,2677
56,"Howell, David W L",EN,2676
57,"Fedoseev, Vladimir",SI,2675
58,"Amin, Bassem",EG,2674
59,"Matlakov, Maxim",RU,2674
60,"Kovalenko, Igor",UA,2674
61,"Bluebaum, Matthias",DE,2670
62,"Adams, Michael",EN,2670
63,"Alekseenko, Kirill",AT,2670
64,"Sarana, Alexey",RS,2669
65,Narayanan.S.L,IN,2668
66,"Shirov, Alexei",ES,2668
67,"Vallejo Pons, Francisco",ES,2668
68,"Anton Guijarro, David",ES,2668
69,"Bacrot, Etienne",FR,2668
70,"Wojtaszek, Radoslaw",PL,2668
71,"Oparin, Grigoriy",US,2667
72,"Korobov, Anton",UA,2667
73,"Leko, Peter",HU,2666
74,"Shevchenko, Kirill",RO,2665
75,"Donchenko, Alexander",DE,2664
76,"Predke, Alexandr",RS,2661
77,"Volokitin, Andrei",UA,2660
78,"Gelfand, Boris",IL,2660
79,"Niemann, Hans Moke",US,2659
80,"Saric, Ivan",HR,2659
81,"Wang, Yue",CN,2659
82,"Inarkiev, Ernesto",FF,2658
83,"Najer, Evgeniy",FF,2653
84,"Ma, Qun",CN,2653
85,"Ivanchuk, Vasyl",UA,2653
86,"Naiditsch, Arkadij",AZ,2653
87,"Kryvoruchko, Yuriy",UA,2652
88,"Li, Chao b",CN,2652
89,"Bartel, Mateusz",PL,2651
90,"Ni, Hua",CN,2651
91,"Pichot, Alan",ES,2650
92,"Sadhwani, Raunak",IN,2650
93,"Yilmaz, Mustafa",TR,2650
94,"Melkumyan, Hrant",AM,2650
95,"Cheparinov, Ivan",BG,2649
96,"Svane, Rasmus",DE,2647
97,"Grigoryan, Karen H.",AM,2646
98,"Malakhov, Vladimir",FF,2646
99,"Mamedov, Rauf",AZ,2644
100,"Yakubboev, Nodirbek",UZ,2643
