rank,name,fed,rating
1,"Kasparov, Garry",RUS,2838
2,"Kramnik, Vladimir",RUS,2809
3,"Anand, Viswanathan",IND,2757
4,"Adams, Michael",ENG,2742
5,"Morozevich, Alexander",RUS,2742
6,"Topalov, Veselin",BUL,2739
7,"Ponomariov, Ruslan",UKR,2727
8,"Ivanchuk, Vassily",UKR,2717
9,"Shirov, Alexei",ESP,2715
10,"Leko, Peter",HUN,2713
11,"Bareev, Evgeny",RUS,2707
12,"Gelfand, Boris",ISR,2703
13,"Smirin, Ilia",ISR,2702
14,"Van Wely, Loek",NED,2697
15,"Kasimdzhanov, Rustam",UZB,2695
16,"Karpov, Anatoly",RUS,2693
17,"Khalifman, Alexander",RUS,2688
18,"Svidler, Peter",RUS,2688
19,"Lautier, Joel",FRA,2687
20,"Dreev, Alexey",RUS,2683
21,"Akopian, Vladimir",ARM,2680
22,"Polgar, Judit (GM)",HUN,2677
23,"Azmaiparashvili, Zurab",GEO,2676
24,"Ye, Jiangchuan",CHN,2676
25,"Grischuk, Alexander",RUS,2671
26,"Short, Nigel D.",ENG,2663
27,"Vaganian, Rafael A",ARM,2662
28,"Piket, Jeroen",NED,2659
29,"Sokolov, Ivan",BIH,2659
30,"Sutovsky, Emil",ISR,2656
31,"Zhang, Zhong",CHN,2656
32,"Zvjaginsev, Vadim",RUS,2656
33,"Georgiev, Kiril",BUL,2655
34,"Onischuk, Alexander",UKR,2655
35,"Rublevsky, Sergei",RUS,2655
36,"Xu, Jun",CHN,2654
37,"Nikolic, Predrag",BIH,2653
38,"Bologan, Viktor",MDA,2651
39,"Bacrot, Etienne",FRA,2649
40,"Beliavsky, Alexander G",SLO,2649
41,"Sakaev, Konstantin",RUS,2649
42,"Malakhov, Vladimir",RUS,2647
43,"Aleksandrov, Aleksej",BLR,2645
44,"Almasi, Zoltan",HUN,2644
45,"Lutz, Christopher",GER,2644
46,"Seirawan, Yasser",USA,2644
47,"Nielsen, Peter Heine",DEN,2642
48,"Gurevich, Mikhail",BEL,2641
49,"Motylev, Alexander",RUS,2639
50,"Kharlov, Andrei",RUS,2638
51,"Dautov, Rustem",GER,2636
52,"Lputian, Smbat G",ARM,2634
53,"Tkachiev, Vladislav",FRA,2634
54,"Korchnoi, Viktor",SUI,2633
55,"Krasenkow, Michal",POL,2632
56,"Sadler, Matthew",ENG,2631
57,"Goldin, Alexander",USA,2630
58,"Lastin, Alexander",RUS,2630
59,"Shipov, Sergei",RUS,2630
60,"Vallejo Pons, Francisco",ESP,2629
61,"Huebner, Robert Dr.",GER,2628
62,"Tregubov, Pavel V.",RUS,2626
63,"Filippov, Valerij",RUS,2625
64,"Movsesian, Sergei",CZE,2624
65,"Pigusov, Evgeny",RUS,2623
66,"Kobalia, Mikhail",RUS,2620
67,"Landa, Konstantin",RUS,2619
68,"Jussupow, Artur",GER,2618
69,"Sokolov, Andrei",FRA,2614
70,"Tiviakov, Sergei",NED,2614
71,"Hansen, Curt",DEN,2613
72,"Macieja, Bartlomiej",POL,2612
73,"Peng, Xiaomin",CHN,2611
74,"Baklan, Vladimir",UKR,2609
75,"Nisipeanu, Liviu-Dieter",ROM,2608
76,"Rustemov, Alexander",RUS,2607
77,"Gyimesi, Zoltan",HUN,2606
78,"Kozul, Zdenko",CRO,2606
79,"Shabalov, Alexander",USA,2606
80,"Graf, Alexander",GER,2605
81,"Istratescu, Andrei",ROM,2605
82,"Timman, Jan H",NED,2605
83,"Stefansson, Hannes",ISL,2604
84,"Dorfman, Josif D",FRA,2602
85,"Glek, Igor V.",GER,2601
86,"Gulko, Boris F",USA,2601
87,"Hickl, Joerg",GER,2601
88,"Papaioannou, Ioannis",GRE,2601
89,"Chuchelov, Vladimir",BEL,2600
90,"Najdoski, Toni",MKD,2600
91,"Asrian, Karen",ARM,2599
92,"Epishin, Vladimir",RUS,2599
93,"Najer, Evgeniy",RUS,2599
94,"Radjabov, Teimour",AZE,2599
95,"Andersson, Ulf",SWE,2598
96,"Eingorn, Vereslav S",UKR,2598
97,"Hodgson, Julian M.",ENG,2598
98,"Rozentalis, Eduardas",LTU,2598
99,"Conquest, Stuart",ENG,2596
100,"Kaidanov, Gregory S",USA,2596
