rank,name,fed,rating
1,"Fischer, Robert James",USA,2780
2,"Karpov, Anatoly",URS,2660
3,"Tal, Mikhail N.",URS,2660
4,"Spassky, Boris V.",URS,2655
5,"Korchnoi, Viktor",URS,2650
6,"Portisch, Lajos",HUN,2650
7,"Petrosian, Tigran",URS,2640
8,"Botvinnik, Mikhail",URS,2630
9,"Polugaevsky, Lev",URS,2625
10,"Larsen, Bent",DEN,2620
11,"Smyslov, Vassily",URS,2610
12,"Byrne, Robert E.",USA,2605
13,"Geller, Efim P.",URS,2605
14,"Stein, Leonid",URS,2605
15,"Huebner, Robert",GER,2600
16,"Gligoric, Svetozar",YUG,2595
17,"Smejkal, Jan",CSR,2595
18,"Hort, Vlastimil",CSR,2590
19,"Panno, Oscar",ARG,2585
20,"Taimanov, Mark E.",URS,2585
21,"Balashov, Yuri S.",URS,2580
22,"Keres, Paul",URS,2580
23,"Kuzmin, Gennadi P.",URS,2575
24,"Mecking, Henrique",BRA,2575
25,"Savon, Vladimir A.",URS,2575
26,"Bronstein, David I.",URS,2570
27,"Olafsson, Fridrik",ISL,2570
28,"Kavalek, Lubomir",USA,2565
29,"Ljubojevic, Ljubomir",YUG,2565
30,"Szabo, Laszlo",HUN,2565
31,"Krogius, Nikolai V.",URS,2560
32,"Reshevsky, Samuel H.",USA,2560
33,"Uhlmann, Wolfgang",GDR,2560
34,"Vasiukov, Evgeni",URS,2560
35,"Andersson, Ulf",SWE,2555
36,"Gheorghiu, Florin",ROM,2550
37,"Schmid, Lothar",GER,2550
38,"Averbakh, Yuri L.",URS,2545
39,"Lein, Anatoly",URS,2545
40,"Tukmakov, Vladimir B.",URS,2545
41,"Csom, Istvan",HUN,2540
42,"Furman, Semyen A.",URS,2540
43,"Gipslis, Aivars",URS,2540
44,"Shamkovich, Leonid",URS,2540
45,"Evans, Larry M.",USA,2535
46,"Unzicker, Wolfgang",GER,2535
47,"Benko, Pal C.",USA,2530
48,"Boleslavsky, Isaak",URS,2530
49,"Browne, Walter S.",USA,2530
50,"Radulov, Ivan",BUL,2530
51,"Matulovic, Milan",YUG,2525
52,"Mukhin, Mikhail A.",URS,2525
53,"Najdorf, Miguel",ARG,2525
54,"Planinc, Albin",YUG,2525
55,"Ribli, Zoltan",HUN,2525
56,"Bagirov, Vladimir",URS,2520
57,"Dzindzikhashvili, Roman",URS,2520
58,"Ivkov, Borislav",YUG,2520
59,"Kholmov, Ratmir D.",URS,2520
60,"Lombardy, William J.",USA,2520
61,"Lutikov, Anatoly S.",URS,2520
62,"Pfleger, Helmut",GER,2520
63,"Quinteros, Miguel A.",ARG,2520
64,"Tseshkovsky, Vitaly",URS,2520
65,"Adorjan, Andras",HUN,2515
66,"Antoshin, Vladimir S.",URS,2515
67,"Liberzon, Vladimir M.",URS,2515
68,"Pachman, Ludek",CSR,2515
69,"Suetin, Alexey S.",URS,2515
70,"Gurgenidze, Bukhuti",URS,2510
71,"Osnos, Viatcheslav",URS,2510
72,"Razuvaev, Yuri S.",URS,2510
73,"Velimirovic, Dragoljub",YUG,2510
74,"Hecht, Hans-Joachim",GER,2505
75,"Bilek, Istvan",HUN,2500
76,"Bolbochan, Julio",ARG,2500
77,"Darga, Klaus",GER,2500
78,"Gufeld, Eduard",URS,2500
79,"Parma, Bruno",YUG,2500
80,"Platonov, Igor V.",URS,2500
81,"Vaganian, Rafael A.",URS,2500
82,"Diez Del Corral, Jesus",ESP,2495
83,"Malich, Burkhard",GDR,2495
84,"Nei, Iivo",URS,2495
85,"Zhidkov, Valery S.",URS,2495
86,"Addison, Wiliam G.",USA,2490
87,"Filip, Miroslav",CSR,2490
88,"Grigorian, Levon A.",URS,2490
89,"Kapengut, Albert Z.",URS,2490
90,"Kochyev, Alexander",URS,2490
91,"Matanovic, Aleksandar",YUG,2490
92,"Padevsky, Nikola",BUL,2490
93,"Sakharov, Yuri N.",URS,2490
94,"Dvoretzky, Mark",URS,2485
95,"Grigorian, Karen A.",URS,2485
96,"Kovacevic, Vladimir",YUG,2485
97,"Liebert, Heinz",GDR,2485
98,"Rashkovsky, Nukhim N.",URS,2485
99,"Suttles, Duncan",CAN,2485
100,"Dely, Peter",HUN,2480
