rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2857
2,"Vachier-Lagrave, Maxime",FRA,2813
3,"Kasparov, Garry",RUS,2812
4,"Caruana, Fabiano",USA,2808
5,"Kramnik, Vladimir",RUS,2808
6,"Aronian, Levon",ARM,2795
7,"Nakamura, Hikaru",USA,2789
8,"So, Wesley",USA,2782
9,"Anand, Viswanathan",IND,2776
10,"Karjakin, Sergey",RUS,2769
11,"Topalov, Veselin",BUL,2768
12,"Mamedyarov, Shakhriyar",AZE,2761
13,"Giri, Anish",NED,2755
14,"Grischuk, Alexander",RUS,2754
15,"Ding, Liren",CHN,2753
16,"Harikrishna, P.",IND,2752
17,"Rapport, Richard",HUN,2752
18,"Li, Chao b",CHN,2746
19,"Svidler, Peter",RUS,2745
20,"Gelfand, Boris",ISR,2743
21,"Navara, David",CZE,2742
22,"Nepomniachtchi, Ian",RUS,2740
23,"Eljanov, Pavel",UKR,2739
24,"Adams, Michael",ENG,2738
25,"Wang, Yue",CHN,2737
26,"Wojtaszek, Radoslaw",POL,2736
27,"Inarkiev, Ernesto",RUS,2732
28,"Tomashevsky, Evgeny",RUS,2731
29,"Andreikin, Dmitry",RUS,2727
30,"Yu, Yangyi",CHN,2725
31,"Le, Quang Liem",VIE,2723
32,"Ivanchuk, Vassily",UKR,2722
33,"Radjabov, Teimour",AZE,2722
34,"Vitiugov, Nikita",RUS,2721
35,"Dominguez Perez, Leinier",CUB,2720
36,"Wei, Yi",CHN,2717
37,"Vallejo Pons, Francisco",ESP,2716
38,"Jakovenko, Dmitry",RUS,2714
39,"Wang, Hao",CHN,2710
40,"Leko, Peter",HUN,2709
41,"Ponomariov, Ruslan",UKR,2709
42,"Bu, Xiangzhi",CHN,2704
43,"Malakhov, Vladimir",RUS,2697
44,"Ragger, Markus",AUT,2697
45,"Kasimdzhanov, Rustam",UZB,2696
46,"Naiditsch, Arkadij",AZE,2696
47,"Kryvoruchko, Yuriy",UKR,2693
48,"Bacrot, Etienne",FRA,2692
49,"Matlakov, Maxim",RUS,2691
50,"Rublevsky, Sergei",RUS,2689
51,"Safarli, Eltaj",AZE,2688
52,"Nisipeanu, Liviu-Dieter",GER,2687
53,"Rodshtein, Maxim",ISR,2687
54,"Smirin, Ilia",ISR,2685
55,"Almasi, Zoltan",HUN,2684
56,"Morozevich, Alexander",RUS,2683
57,"Piorun, Kacper",POL,2681
58,"Shankland, Samuel L",USA,2679
59,"Cheparinov, Ivan",BUL,2677
60,"Movsesian, Sergei",ARM,2677
61,"Najer, Evgeniy",RUS,2677
62,"Akopian, Vladimir",ARM,2675
63,"Bareev, Evgeny",CAN,2675
64,"Duda, Jan-Krzysztof",POL,2675
65,"Korobov, Anton",UKR,2675
66,"Polgar, Judit",HUN,2675
67,"Gyimesi, Zoltan",HUN,2674
68,"Robson, Ray",USA,2674
69,"Van Wely, Loek",NED,2674
70,"Shirov, Alexei",LAT,2673
71,"Zvjaginsev, Vadim",RUS,2673
72,"Ganguly, Surya Shekhar",IND,2672
73,"Adhiban, B.",IND,2671
74,"McShane, Luke J",ENG,2671
75,"Melkumyan, Hrant",ARM,2671
76,"Fedoseev, Vladimir",RUS,2670
77,"Sadler, Matthew D",ENG,2670
78,"Sargissian, Gabriel",ARM,2670
79,"Vidit, Santosh Gujrathi",IND,2669
80,"Onischuk, Alexander",USA,2668
81,"Saric, Ivan",CRO,2668
82,"Mamedov, Rauf",AZE,2666
83,"Negi, Parimarjan",IND,2666
84,"Short, Nigel D",ENG,2666
85,"Areshchenko, Alexander",UKR,2665
86,"Howell, David W L",ENG,2665
87,"Jobava, Baadur",GEO,2665
88,"Fressinet, Laurent",FRA,2664
89,"Artemiev, Vladislav",RUS,2663
90,"Motylev, Alexander",RUS,2663
91,"Markus, Robert",SRB,2662
92,"Salgado Lopez, Ivan",ESP,2662
93,"Amin, Bassem",EGY,2661
94,"Efimenko, Zahar",UKR,2661
95,"Dreev, Aleksey",RUS,2660
96,"Tkachiev, Vladislav",FRA,2660
97,"Hou, Yifan",CHN,2658
98,"Lautier, Joel",FRA,2658
99,"Sasikiran, Krishnan",IND,2658
100,"Ni, Hua",CHN,2655
