rank,name,fed,rating
1,"Carlsen, Magnus",NOR,2832
2,"Kasparov, Garry",RUS,2812
3,"So, Wesley",USA,2812
4,"Caruana, Fabiano",USA,2808
5,"Kramnik, Vladimir",RUS,2808
6,"Mamedyarov, Shakhriyar",AZE,2800
7,"Vachier-Lagrave, Maxime",FRA,2796
8,"Aronian, Levon",ARM,2793
9,"Anand, Viswanathan",IND,2786
10,"Nakamura, Hikaru",USA,2785
11,"Ding, Liren",CHN,2783
12,"Karjakin, Sergey",RUS,2781
13,"Giri, Anish",NED,2771
14,"Grischuk, Alexander",RUS,2761
15,"Svidler, Peter",RUS,2756
16,"Topalov, Veselin",BUL,2749
17,"Yu, Yangyi",CHN,2749
18,"Dominguez Perez, Leinier",CUB,2739
19,"Eljanov, Pavel",UKR,2739
20,"Ivanchuk, Vassily",UKR,2738
21,"Harikrishna, P.",IND,2737
22,"Navara, David",CZE,2737
23,"Adams, Michael",ENG,2736
24,"Nepomniachtchi, Ian",RUS,2732
25,"Wojtaszek, Radoslaw",POL,2730
26,"Gelfand, Boris",ISR,2728
27,"Wei, Yi",CHN,2728
28,"Le, Quang Liem",VIE,2726
29,"Radjabov, Teimour",AZE,2724
30,"Malakhov, Vladimir",RUS,2722
31,"Andreikin, Dmitry",RUS,2720
32,"Li, Chao b",CHN,2720
33,"Vitiugov, Nikita",RUS,2720
34,"Vallejo Pons, Francisco",ESP,2717
35,"Bu, Xiangzhi",CHN,2712
36,"Naiditsch, Arkadij",AZE,2712
37,"Ponomariov, Ruslan",UKR,2712
38,"Korobov, Anton",UKR,2711
39,"Kryvoruchko, Yuriy",UKR,2709
40,"Bacrot, Etienne",FRA,2708
41,"Jakovenko, Dmitry",RUS,2708
42,"Almasi, Zoltan",HUN,2707
43,"Inarkiev, Ernesto",RUS,2707
44,"Jobava, Baadur",GEO,2707
45,"Matlakov, Maxim",RUS,2707
46,"Najer, Evgeniy",RUS,2706
47,"Tomashevsky, Evgeny",RUS,2706
48,"Fedoseev, Vladimir",RUS,2703
49,"Wang, Yue",CHN,2699
50,"Duda, Jan-Krzysztof",POL,2697
51,"Wang, Hao",CHN,2696
52,"Rapport, Richard",HUN,2694
53,"Howell, David W L",ENG,2692
54,"Vidit, Santosh Gujrathi",IND,2692
55,"Artemiev, Vladislav",RUS,2691
56,"Leko, Peter",HUN,2691
57,"Cheparinov, Ivan",BUL,2690
58,"Mamedov, Rauf",AZE,2689
59,"Rodshtein, Maxim",ISR,2689
60,"Short, Nigel D",ENG,2688
61,"Onischuk, Alexander",USA,2685
62,"Sadler, Matthew D",ENG,2684
63,"Nisipeanu, Liviu-Dieter",GER,2683
64,"Rublevsky, Sergei",RUS,2683
65,"Kamsky, Gata",USA,2678
66,"Ragger, Markus",AUT,2677
67,"Kasimdzhanov, Rustam",UZB,2676
68,"Moiseenko, Alexander",UKR,2676
69,"Movsesian, Sergei",ARM,2676
70,"Rakhmanov, Aleksandr",RUS,2676
71,"Shankland, Samuel L",USA,2676
72,"Smirin, Ilia",ISR,2676
73,"Morozevich, Alexander",RUS,2675
74,"Polgar, Judit",HUN,2675
75,"Sutovsky, Emil",ISR,2675
76,"Van Wely, Loek",NED,2675
77,"Gyimesi, Zoltan",HUN,2674
78,"Ni, Hua",CHN,2674
79,"Akobian, Varuzhan",USA,2673
80,"Amin, Bassem",EGY,2672
81,"Markus, Robert",SRB,2672
82,"Motylev, Alexander",RUS,2672
83,"Adhiban, B.",IND,2670
84,"Negi, Parimarjan",IND,2670
85,"Laznicka, Viktor",CZE,2669
86,"Sasikiran, Krishnan",IND,2669
87,"Akopian, Vladimir",ARM,2667
88,"Bareev, Evgeny",CAN,2666
89,"Hou, Yifan",CHN,2666
90,"Iturrizaga Bonelli, Eduardo",VEN,2663
91,"Tkachiev, Vladislav",FRA,2660
92,"Anton Guijarro, David",ESP,2659
93,"Ipatov, Alexander",TUR,2659
94,"Mareco, Sandro",ARG,2659
95,"Ganguly, Surya Shekhar",IND,2658
96,"Lautier, Joel",FRA,2658
97,"Xiong, Jeffery",USA,2658
98,"Zvjaginsev, Vadim",RUS,2658
99,"Granda Zuniga, Julio E",PER,2656
100,"Kovalenko, Igor",LAT,2656
